@relation seismic-bumps-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S1

@attribute shift {W,N}
@attribute genergy numeric
@attribute gdenergy numeric
@attribute gdpuls numeric
@attribute nbumps numeric
@attribute nbumps3 numeric
@attribute nbumps7 numeric
@attribute nbumps89 numeric
@attribute energy numeric
@attribute class {1,0}

@data
N,39040,-26,-5,1,1,0,0,5000,0
N,54990,1,-28,0,0,0,0,0,0
W,172120,-35,-41,0,0,0,0,0,0
N,25280,-54,-35,1,1,0,0,4000,0
W,270040,10,-14,2,0,0,0,800,0
N,41120,-21,-43,0,0,0,0,0,0
N,22710,-57,-70,0,0,0,0,0,0
N,13160,-71,-76,0,0,0,0,0,0
N,19500,-51,-51,1,1,0,0,4000,0
N,12970,-65,-64,0,0,0,0,0,0
W,166700,-34,-56,0,0,0,0,0,0
W,274170,15,34,0,0,0,0,0,0
N,56120,100,89,1,1,0,0,5000,0
W,226790,2,0,0,0,0,0,0,0
W,134640,-41,-16,0,0,0,0,0,0
N,49910,61,61,1,1,0,0,3000,0
W,328050,51,0,1,0,0,0,200,0
W,140090,-40,-46,0,0,0,0,0,0
N,42820,28,9,1,1,0,0,3000,0
W,157740,-31,-35,0,0,0,0,0,0
W,325750,50,67,1,1,0,0,3000,0
W,300520,37,37,0,0,0,0,0,0
W,465730,-7,-12,1,1,0,0,4000,0
W,336600,-32,-34,1,1,0,0,4000,0
N,112300,-55,-65,0,0,0,0,0,0
W,951410,98,-7,0,0,0,0,0,0
N,203850,-14,-32,1,1,0,0,3000,0
W,715390,36,36,1,0,0,0,300,0
N,160350,-31,23,0,0,0,0,0,0
N,76150,-52,-50,1,1,0,0,4000,0
W,373180,-32,-14,1,1,0,0,2000,0
W,481630,-10,17,0,0,0,0,0,0
W,620720,17,23,0,0,0,0,0,0
N,99160,-34,4,1,1,0,0,4000,0
N,280830,94,39,1,1,0,0,3000,0
W,557230,2,11,0,0,0,0,0,0
N,65800,-58,-49,1,1,0,0,4000,0
N,270490,83,78,0,0,0,0,0,0
W,307540,-44,-32,0,0,0,0,0,0
N,51230,-68,-57,1,1,0,0,3000,0
W,314100,-41,-37,0,0,0,0,0,0
W,368340,-28,-4,1,1,0,0,2000,0
N,114540,-23,0,2,2,0,0,8000,0
W,316200,-37,-21,3,2,0,0,2700,0
N,209760,46,89,0,0,0,0,0,0
N,46300,-69,-63,1,1,0,0,5000,0
W,372380,-26,-9,0,0,0,0,0,0
N,47830,-65,-47,1,1,0,0,3000,0
W,396530,-10,-13,1,1,0,0,6000,0
N,87740,-30,-24,0,0,0,0,0,0
N,74570,-41,-35,2,2,0,0,4000,0
N,37490,-70,-51,0,0,0,0,0,0
W,303610,-26,-21,0,0,0,0,0,0
W,278230,-31,-18,1,0,0,0,900,0
N,64930,-35,-33,1,1,0,0,5000,0
W,498960,30,17,1,0,0,0,900,0
W,443740,20,10,0,0,0,0,0,0
N,39620,-61,-53,1,1,0,0,4000,0
W,788230,-1,-1,0,0,0,0,0,0
N,119460,-70,-64,0,0,0,0,0,0
N,65100,-82,-75,1,1,0,0,3000,0
W,1049580,31,21,0,0,0,0,0,0
W,715540,-13,-4,2,0,0,0,900,1
N,92520,-73,-74,1,0,0,0,10000,1
W,974430,20,20,2,0,0,0,20600,0
W,696470,-16,-12,2,1,0,0,2400,0
N,61620,-33,-4,1,1,0,0,3000,0
W,1124850,37,39,3,2,0,0,3900,0
W,640820,-25,-23,1,1,0,0,5000,0
W,1096910,31,29,2,1,0,0,3700,0
N,155540,74,79,0,0,0,0,0,0
W,722590,-17,30,2,2,0,0,5000,0
W,582700,-32,-28,1,1,0,0,7000,0
W,691310,-14,-6,0,0,0,0,0,0
W,698810,-11,-14,3,3,0,0,8000,0
N,94110,-76,-58,0,0,0,0,0,0
W,716630,-8,14,2,0,0,0,700,0
W,641120,-17,6,1,0,0,0,800,0
N,384230,4,6,3,2,0,0,9700,1
W,790830,5,-4,2,1,0,0,13000,0
N,390180,6,33,0,0,0,0,0,0
N,69360,-81,-65,1,1,0,0,4000,0
W,936850,24,17,2,1,0,0,2600,0
N,432690,30,50,0,0,0,0,0,0
W,441960,-42,-33,3,3,0,0,6000,0
W,912890,25,37,0,0,0,0,0,0
W,446210,-40,-32,0,0,0,0,0,0
N,84630,-75,-67,0,0,0,0,0,0
N,77540,-75,-73,0,0,0,0,0,0
N,117040,-57,-45,1,1,0,0,2000,0
N,414700,69,63,0,0,0,0,0,0
W,960770,36,44,0,0,0,0,0,0
W,763520,5,36,0,0,0,0,0,0
W,541040,-26,-19,4,1,0,0,4200,0
W,1127430,58,90,1,0,0,0,300,0
W,664090,-12,5,2,0,0,0,1100,0
W,320150,-58,-42,2,2,0,0,5000,0
W,768080,8,24,1,0,0,0,300,0
W,474770,-32,-14,0,0,0,0,0,0
W,682910,-2,-18,2,2,0,0,6000,0
W,1256570,86,88,3,1,0,0,6200,0
W,576040,-24,-22,1,0,0,0,900,0
W,782750,9,-17,2,2,0,0,6000,0
W,1371400,91,63,1,0,0,0,300,0
W,891720,11,0,0,0,0,0,0,0
W,1034700,33,-6,1,1,0,0,2000,1
W,2129020,161,91,2,0,0,0,20600,0
W,1547010,55,38,3,2,0,0,6500,0
W,924910,-14,-19,0,0,0,0,0,0
W,1988970,78,57,0,0,0,0,0,0
N,218630,-11,14,1,1,0,0,3000,0
W,1018360,-19,-12,0,0,0,0,0,0
W,1189240,-3,-12,3,1,0,0,5200,0
W,1582550,23,1,0,0,0,0,0,0
W,927530,-32,-32,1,1,0,0,3000,0
W,2052510,55,46,1,0,0,0,800,0
W,1260100,-12,-5,1,0,0,0,600,0
W,1062280,-27,-27,2,1,0,0,5200,0
W,2196220,62,51,3,2,0,0,8500,0
W,1138340,-20,-20,2,2,0,0,11000,0
W,918020,-36,-34,2,2,0,0,5000,0
W,1766860,32,18,0,0,0,0,0,1
W,1699290,21,36,1,0,0,0,50000,0
N,301550,32,66,1,1,0,0,3000,0
W,1355970,-7,-12,0,0,0,0,0,0
W,2595650,81,66,0,0,0,0,0,0
W,2160800,35,57,4,2,0,0,5100,0
W,1367850,-15,5,1,1,0,0,1000,0
N,251120,1,1,0,0,0,0,0,0
N,157450,-33,-31,0,0,0,0,0,0
N,129740,-39,-44,0,0,0,0,0,0
N,144520,-34,-27,1,1,0,0,3000,0
W,1345240,-17,16,0,0,0,0,0,0
W,2102300,27,26,2,2,0,0,4000,0
N,219070,15,-4,0,0,0,0,0,0
W,628360,-37,-58,2,1,0,0,2300,0
W,1449990,51,12,0,0,0,0,0,0
W,1531530,52,18,2,2,0,0,5000,0
N,195510,-61,-57,1,1,0,0,6000,0
W,1312110,24,2,1,1,0,0,3000,0
N,315650,-33,-9,1,1,0,0,5000,0
W,1061760,-3,0,1,1,0,0,3000,1
W,1283710,17,9,2,0,0,0,40600,0
W,1134540,1,-5,2,2,0,0,7000,0
W,525630,-54,-48,1,0,0,0,200,0
W,1661100,52,32,1,1,0,0,9000,0
W,1310730,13,9,2,1,0,0,4200,0
W,1101540,-7,-14,0,0,0,0,0,0
W,1496830,21,15,3,1,0,0,5700,0
W,1323740,7,-2,1,1,0,0,3000,0
W,943300,-23,-30,2,1,0,0,1400,0
N,348780,-23,4,1,0,0,0,300,0
N,154420,-46,-43,1,1,0,0,3000,0
W,1514120,28,12,3,1,0,0,1900,1
W,1811640,47,41,1,0,0,0,40000,0
W,1446770,13,5,0,0,0,0,0,0
W,1132810,-14,34,5,2,0,0,7000,1
W,1367690,0,90,4,1,0,0,25400,0
W,814170,-39,27,2,1,0,0,1700,0
W,600400,-54,-1,2,1,0,0,2200,1
W,886800,-29,44,3,2,0,0,49000,0
W,588930,-50,-2,1,1,0,0,4000,1
W,542890,-51,-14,3,2,0,0,25000,0
W,1104700,3,33,0,0,0,0,0,0
W,734930,-29,1,2,1,0,0,4800,0
W,509190,-45,-15,2,1,0,0,2300,1
W,480250,-42,13,2,1,0,0,34000,0
W,428740,-44,-5,1,1,0,0,4000,0
W,450060,-33,-2,3,3,0,0,14000,0
W,627380,-1,54,1,0,0,0,800,1
W,448900,-29,-1,5,3,0,0,31500,0
W,453850,-23,-9,1,1,0,0,8000,0
W,779850,35,38,2,1,0,0,5600,0
N,146840,-68,-46,1,1,0,0,2000,0
W,675030,12,-14,4,3,0,0,5300,0
W,811060,45,28,2,0,0,0,900,0
W,538060,-5,-11,2,0,0,0,900,1
W,372470,-35,-22,3,2,0,0,70000,1
W,439210,-21,-2,6,2,0,0,18000,0
W,286300,-49,-41,0,0,0,0,0,0
W,576200,15,-22,6,3,0,0,21300,1
W,833250,64,-6,4,2,0,0,14600,0
W,836500,55,19,4,4,0,0,19000,1
W,571990,0,-18,4,3,0,0,44000,0
W,754760,30,15,2,1,0,0,3200,1
W,834760,37,18,4,2,0,0,54000,0
W,450490,-30,-28,6,4,0,0,12700,1
W,932410,47,28,7,2,0,0,36500,1
W,568200,-16,-7,4,1,0,0,32700,1
W,452730,-34,-31,3,1,0,0,64000,0
W,833660,22,32,4,2,0,0,11000,0
N,131820,-47,-42,1,1,0,0,1000,0
N,72250,-70,-65,0,0,0,0,0,0
N,58850,-73,-74,0,0,0,0,0,0
N,54750,-38,-40,0,0,0,0,0,0
N,43600,-48,-48,0,0,0,0,0,0
N,58200,-27,-38,1,1,0,0,3000,0
N,53320,-31,-39,1,1,0,0,4000,0
W,447360,-37,-33,2,1,0,0,8400,1
W,993080,49,56,3,0,0,0,70800,1
W,593950,-13,-2,4,1,0,0,32800,0
W,570400,-17,-7,2,2,0,0,11000,0
W,788650,18,17,3,1,0,0,6100,1
W,383490,-42,-30,1,0,0,0,30000,0
W,415690,-37,-26,1,1,0,0,7000,1
W,645750,7,6,4,1,0,0,63800,0
W,649840,6,17,3,2,0,0,8400,1
W,380320,-40,-24,4,2,0,0,30900,1
W,401730,-32,-31,3,0,0,0,91700,1
W,459160,-21,-11,1,0,0,0,40000,0
N,285990,67,62,1,1,0,0,6000,0
W,557510,5,8,3,1,0,0,5800,1
W,536260,2,-4,2,1,0,0,74000,0
N,90160,-48,-39,0,0,0,0,0,0
N,55350,-65,-61,1,1,0,0,3000,0
N,72780,-48,-52,1,1,0,0,3000,0
W,498400,-4,-8,1,0,0,0,300,0
N,342050,-2,-20,0,0,0,0,0,0
W,434360,-38,-60,2,2,0,0,9000,1
W,366500,-46,-61,1,0,0,0,30000,0
W,507230,-21,-40,1,1,0,0,3000,0
W,388530,-11,-11,2,1,0,0,3200,1
W,329680,-24,-26,1,0,0,0,70000,0
W,579440,38,41,1,1,0,0,3000,0
W,292040,-33,-29,0,0,0,0,0,0
W,261010,-38,-19,2,1,0,0,3700,1
W,394660,-2,8,3,1,0,0,35900,1
W,464220,16,10,2,0,0,0,40700,0
W,393140,-2,2,3,1,0,0,5200,0
W,742750,87,85,4,4,0,0,18000,0
W,820600,92,97,2,1,0,0,8700,1
W,289580,-38,2,2,1,0,0,54000,0
W,577770,27,38,1,1,0,0,2000,1
W,347400,-28,-22,2,1,0,0,31000,0
N,72370,-79,-70,0,0,0,0,0,0
N,59210,-82,-76,1,1,0,0,2000,0
N,42560,-73,-57,1,1,0,0,4000,0
W,268170,-41,-35,1,0,0,0,400,1
W,632800,39,41,2,1,0,0,25000,0
W,332180,-33,-16,1,1,0,0,1000,1
W,172250,-43,-50,2,1,0,0,73000,0
W,256850,-11,-31,4,0,0,0,1800,0
W,199030,-30,-45,2,0,0,0,700,1
W,192650,-8,-14,4,1,0,0,27100,1
W,320110,54,35,2,0,0,0,20600,1
W,233800,7,-7,3,0,0,0,20700,0
W,206610,-7,1,2,1,0,0,4200,1
W,244480,11,12,3,0,0,0,51200,0
W,430310,92,37,2,1,0,0,1200,0
W,311200,-38,-62,3,2,0,0,14400,0
W,478520,-1,-47,4,1,0,0,4300,0
N,65250,-74,-70,0,0,0,0,0,1
W,379670,-21,-45,2,0,0,0,40000,0
W,887140,128,144,5,2,0,0,6200,1
W,690550,28,29,3,1,0,0,34400,1
W,397280,-29,-48,3,1,0,0,31300,0
W,609620,11,-22,2,0,0,0,900,1
N,136810,-41,-47,1,0,0,0,40000,0
W,358490,-36,-58,1,0,0,0,400,0
W,581540,7,-23,2,1,0,0,6500,1
W,545470,-1,-29,4,1,0,0,53600,0
N,102550,-53,-45,0,0,0,0,0,0
N,66800,-34,-31,0,0,0,0,0,0
N,67210,-31,-32,1,1,0,0,4000,0
W,532290,-4,-19,2,2,0,0,4000,0
W,511560,-9,-10,5,3,0,0,9700,0
W,546980,-3,-7,1,0,0,0,100,1
N,155980,65,24,1,0,0,0,20000,0
N,12340,-88,-79,1,0,0,0,400,0
N,5920,-94,-85,0,0,0,0,0,0
N,4150,-95,-87,0,0,0,0,0,0
N,10420,-85,-86,1,1,0,0,1000,0
N,2970,-95,-87,0,0,0,0,0,0
N,4230,-92,-85,0,0,0,0,0,0
N,3210,-93,-82,0,0,0,0,0,0
N,3550,-89,-82,0,0,0,0,0,0
N,3170,-88,-79,0,0,0,0,0,0
N,4490,-78,-73,0,0,0,0,0,0
N,8790,-91,-91,1,1,0,0,3000,0
W,55730,-89,-87,3,1,0,0,9600,1
W,94740,-79,-73,3,0,0,0,21000,0
W,91510,-78,-69,3,1,0,0,5900,1
W,92450,15,24,4,2,0,0,27600,0
W,189840,-50,-45,6,5,0,0,17900,1
W,108010,-70,-60,4,2,0,0,41200,0
W,71660,-78,-74,2,1,0,0,2800,0
W,122850,-58,-52,3,1,0,0,6900,1
W,110510,-58,-58,4,1,0,0,44200,0
W,91420,-61,-49,4,3,0,0,12700,1
W,151660,-25,-33,7,3,0,0,67700,0
W,103140,-42,-35,3,2,0,0,7500,0
W,76560,-47,-41,5,4,0,0,9500,0
W,122640,10,21,6,2,0,0,9200,1
W,176830,54,56,5,2,0,0,36200,0
W,122410,8,9,3,1,0,0,3600,1
W,184710,61,78,9,7,0,0,49800,0
W,80040,-37,-19,2,1,0,0,1600,0
N,18900,-81,-67,1,1,0,0,3000,0
N,11350,-87,-84,0,0,0,0,0,0
N,10490,-87,-82,1,1,0,0,3000,0
W,83180,-32,-19,3,2,0,0,14600,1
W,127770,7,24,4,1,0,0,44400,0
W,108260,-12,-7,5,2,0,0,6000,0
W,19520,-2,6,2,1,0,0,3200,1
W,47980,-26,-32,3,1,0,0,38600,0
W,54050,-14,-31,3,2,0,0,9400,0
W,38180,-6,0,3,2,0,0,11500,1
W,68970,71,94,5,2,0,0,34400,1
W,29400,-32,-6,2,1,0,0,22000,0
W,36100,-14,-19,6,3,0,0,14300,1
W,45170,9,59,3,0,0,0,70700,0
W,38010,-10,10,1,1,0,0,1000,0
W,22090,-47,-54,4,3,0,0,8800,0
W,34600,-13,6,4,4,0,0,15000,1
W,22860,-42,-16,6,3,0,0,70500,0
W,25940,-31,-37,5,4,0,0,15400,0
W,45670,26,5,5,4,0,0,10800,1
W,26190,-29,-33,3,0,0,0,20500,0
W,21970,-33,-45,5,2,0,0,11500,0
W,19120,-40,-39,3,2,0,0,9300,0
N,5180,-74,-51,1,0,0,0,400,0
W,17660,-41,-27,5,3,0,0,9900,1
W,44020,61,92,7,3,0,0,25100,0
W,54610,95,84,6,5,0,0,14700,1
W,29410,-6,7,7,3,0,0,114400,1
W,60390,96,96,9,4,0,0,40600,1
W,52990,54,39,5,0,0,0,71300,0
W,39330,6,10,6,2,0,0,8200,1
W,46810,28,47,3,1,0,0,27500,0
W,59300,53,70,6,5,0,0,25700,0
N,10370,-44,-6,3,2,0,0,6300,1
W,47500,12,46,8,2,0,0,97100,0
W,46430,3,46,4,2,0,0,15000,0
W,34960,-27,2,5,4,0,0,14200,1
N,20340,16,93,2,1,0,0,202000,0
N,4930,-59,-31,1,1,0,0,5000,0
W,61770,31,90,6,4,0,0,10800,1
W,73420,53,96,5,2,0,0,30200,0
W,38170,-27,12,3,2,0,0,3500,0
N,5500,-51,-1,2,0,0,0,250,0
N,4630,-56,-42,1,0,0,0,50,1
N,3250,-67,-54,1,0,0,0,30000,1
W,30460,-39,-36,3,0,0,0,70600,0
W,28300,-41,-20,1,1,0,0,8000,0
N,15500,72,86,1,1,0,0,2000,0
N,19320,106,118,2,1,0,0,2300,1
W,59380,27,30,5,2,0,0,26600,0
W,39700,-17,5,3,2,0,0,8700,1
W,61140,22,-69,8,2,0,0,89400,1
W,93190,82,-53,4,2,0,0,81400,0
W,108750,96,-56,4,2,0,0,6200,1
W,73820,-16,-14,8,3,0,0,52700,0
W,102380,19,37,8,4,0,0,13400,0
W,88360,1,15,4,2,0,0,6300,0
W,56810,-35,-27,5,3,0,0,6100,0
W,106610,26,43,6,4,0,0,20800,1
W,61710,-29,-6,4,2,0,0,22900,0
W,53900,-36,-20,2,2,0,0,4000,0
W,66680,-17,9,2,1,0,0,5400,0
W,43660,-44,-29,1,0,0,0,700,0
N,11730,-53,-88,1,0,0,0,300,0
N,6530,-72,-92,1,0,0,0,100,0
N,9280,-57,-90,1,1,0,0,2000,0
W,86740,17,25,2,2,0,0,9000,0
W,92380,25,29,6,1,0,0,4300,0
W,52780,-30,-16,1,0,0,0,200,0
W,56830,-20,-2,5,3,0,0,10500,0
W,80210,18,32,3,2,0,0,2700,1
W,78430,12,8,5,3,0,0,207900,0
W,47370,-30,-28,4,2,0,0,8800,0
W,73180,11,20,5,2,0,0,9600,0
W,104410,54,50,3,1,0,0,1600,0
N,8190,-11,36,0,0,0,0,0,0
N,3410,-62,-32,0,0,0,0,0,0
N,1860,-78,-30,1,1,0,0,4000,1
W,31620,-64,-45,2,0,0,0,40400,1
W,81600,-1,75,6,2,0,0,44000,0
W,42390,-48,-7,3,2,0,0,6600,0
W,36400,-53,-21,2,1,0,0,1400,0
W,69070,-4,35,5,2,0,0,5700,0
W,40420,-42,-31,0,0,0,0,0,0
N,11390,47,94,1,0,0,0,300,0
N,5550,-31,-12,2,1,0,0,4300,0
N,7040,-8,-26,2,1,0,0,5500,0
W,39050,-40,-19,3,0,0,0,2000,0
W,55530,-8,18,1,1,0,0,2000,0
W,53390,-7,15,2,1,0,0,3200,0
W,37270,-31,-23,3,2,0,0,6200,0
W,53170,9,23,5,3,0,0,4800,0
W,42280,-17,-6,5,2,0,0,12100,0
W,27980,-40,-35,6,3,0,0,7000,0
W,60200,32,24,5,2,0,0,9200,0
W,64290,34,31,3,2,0,0,5100,0
W,33310,-30,-27,6,3,0,0,6800,0
W,60420,30,43,2,1,0,0,4500,0
W,49430,1,9,2,0,0,0,1500,0
W,20380,-58,-59,2,1,0,0,4700,1
W,87140,94,83,4,1,0,0,27100,0
W,24490,-51,-42,3,0,0,0,1000,0
N,6140,-17,23,1,0,0,0,400,0
N,2190,-69,-42,1,0,0,0,200,0
N,3020,-53,-40,0,0,0,0,0,0
N,1630,-72,-44,1,0,0,0,800,0
N,2560,-49,-14,2,1,0,0,1300,0
N,3510,-22,-35,0,0,0,0,0,0
N,7570,69,67,1,1,0,0,5000,1
W,45330,-4,25,3,2,0,0,402000,0
W,32690,-31,-5,2,0,0,0,1100,1
W,26800,-44,-26,1,0,0,0,10000,0
W,48250,9,44,3,2,0,0,12600,0
N,6790,34,50,0,0,0,0,0,0
W,27890,-72,-72,6,3,0,0,9800,0
W,54820,-41,-37,3,2,0,0,5600,0
W,37840,-57,-47,2,0,0,0,1200,0
W,31510,-22,-27,4,1,0,0,2700,0
W,36400,-7,-5,2,1,0,0,8700,0
N,9470,-81,-84,1,1,0,0,2000,0
W,29340,-25,-31,3,0,0,0,1400,0
W,44960,19,56,4,3,0,0,14400,0
W,28500,-26,-22,1,0,0,0,400,0
W,31250,-16,2,3,3,0,0,4000,1
W,33760,-7,35,3,1,0,0,81500,0
W,25400,-29,-8,2,2,0,0,6000,0
W,32500,-5,10,1,0,0,0,700,0
N,12580,-73,-74,1,0,0,0,600,0
N,8060,-81,-86,1,1,0,0,3000,0
W,20160,-40,-39,3,0,0,0,1600,0
W,36020,15,18,1,0,0,0,400,0
W,26550,-17,-23,2,1,0,0,1700,0
W,15460,-50,-51,1,1,0,0,4000,0
W,23630,-20,-29,3,0,0,0,1800,0
W,32130,18,13,0,0,0,0,0,0
W,28570,3,-13,1,1,0,0,2000,0
W,37640,37,58,0,0,0,0,0,0
W,42930,54,-11,5,3,0,0,6200,0
W,14990,-49,-51,2,1,0,0,4500,1
W,45470,64,65,8,2,0,0,33600,0
W,13740,-55,-42,0,0,0,0,0,1
W,17150,-39,-44,3,1,0,0,24200,0
W,44600,64,75,1,1,0,0,2000,0
W,40150,33,40,0,0,0,0,0,0
W,17860,-44,-50,2,1,0,0,4200,0
N,4190,-58,-49,0,0,0,0,0,0
N,1150,-88,-73,1,0,0,0,100,0
N,2020,-76,-76,1,0,0,0,400,0
N,1650,-79,-69,0,0,0,0,0,0
N,6040,-13,-33,2,1,0,0,3300,0
W,13690,-66,-67,2,1,0,0,3300,0
W,54830,46,68,5,2,0,0,4000,0
W,34280,-12,5,1,1,0,0,3000,0
W,24970,-35,-26,2,2,0,0,4000,0
W,46740,27,29,6,3,0,0,5800,0
W,23040,-39,-28,2,1,0,0,1300,0
N,5380,-18,58,1,1,0,0,2000,0
W,33540,-6,34,0,0,0,0,0,0
W,39980,14,43,2,1,0,0,2800,0
W,28520,-19,5,3,0,0,0,1700,1
W,92780,173,172,5,2,0,0,23500,1
W,60910,55,62,2,1,0,0,303000,0
W,81410,-19,-56,3,1,0,0,10200,1
W,150220,53,-25,2,1,0,0,23000,0
W,109110,6,-54,2,0,0,0,1300,0
W,70490,-38,-37,6,5,0,0,10300,0
W,83570,-24,-3,3,1,0,0,1800,0
W,46580,-56,-48,1,1,0,0,2000,0
N,6500,-87,-87,0,0,0,0,0,0
N,5310,-88,-89,0,0,0,0,0,0
N,5770,-86,-89,1,1,0,0,2000,0
W,54150,-46,-35,3,0,0,0,800,1
W,96070,3,19,3,1,0,0,49200,0
W,40800,-56,-51,3,2,0,0,5800,0
W,38070,-55,-48,2,1,0,0,7900,0
W,69660,-10,-8,2,0,0,0,800,1
W,32310,-56,-49,4,2,0,0,28400,0
W,39760,-38,-39,3,0,0,0,1600,0
W,74940,31,15,2,0,0,0,500,0
W,63950,11,-6,0,0,0,0,0,0
W,54030,-3,13,6,3,0,0,13300,0
W,44080,-22,11,2,1,0,0,3700,0
W,33580,-39,-13,1,1,0,0,4000,0
W,34980,-29,5,0,0,0,0,0,0
W,40850,-16,18,2,0,0,0,400,0
N,4050,-31,-37,1,0,0,0,600,0
N,6320,11,-38,1,1,0,0,4000,0
W,26130,-46,-27,2,1,0,0,2200,0
W,34820,-22,-6,1,0,0,0,300,0
N,4410,-23,53,0,0,0,0,0,0
N,3280,-41,-23,1,0,0,0,200,0
N,6070,14,-9,1,1,0,0,3000,0
W,17660,-60,-52,1,0,0,0,900,0
W,21240,-50,-52,1,0,0,0,700,0
W,37710,2,-12,1,1,0,0,2000,0
W,20250,-41,-39,4,1,0,0,2600,1
W,43940,41,36,2,1,0,0,41000,0
W,31770,2,-3,3,2,0,0,10400,0
W,16450,-47,-40,3,1,0,0,3800,0
W,29150,0,18,1,0,0,0,600,1
