@relation 'seismic-bumps_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '0.334energy+0.315maxenergy+0.314nbumps+0.31 gpuls+0.255nbumps4...' numeric
@attribute 0.433ghazard=a-0.388ghazard=b+0.349seismoacoustic=a-0.3seismoacoustic=b-0.251gdenergy... numeric
@attribute '0.49 nbumps5+0.434maxenergy+0.398energy-0.285nbumps2-0.266nbumps...' numeric
@attribute -0.544seismic=a+0.544seismic=b-0.343ghazard=c-0.331seismoacoustic=c-0.215nbumps... numeric
@attribute -0.54seismoacoustic=b+0.448seismoacoustic=a+0.329ghazard=c+0.313seismoacoustic=c+0.226gdenergy... numeric
@attribute 0.396genergy-0.389seismoacoustic=c+0.358gpuls+0.326gdpuls-0.325ghazard=c... numeric
@attribute 0.427genergy-0.411gdenergy-0.373gdpuls-0.285nbumps2+0.274gpuls... numeric
@attribute -0.587ghazard=b+0.439ghazard=a+0.311ghazard=c-0.283seismoacoustic=a+0.254seismoacoustic=b... numeric
@attribute -0.784nbumps4-0.406shift+0.404nbumps5+0.122nbumps2-0.093gdpuls... numeric
@attribute -0.702shift-0.48nbumps3+0.276nbumps4-0.264genergy+0.226nbumps2... numeric
@attribute -0.643nbumps2+0.564nbumps3-0.418shift-0.201genergy-0.108nbumps5... numeric
@attribute class {1,0}

@data
-1.485987,1.264625,0.497836,-0.667681,-0.06933,-0.392817,-0.398856,-0.479418,-0.40226,-1.139318,0.347053,0
-2.090241,0.646809,0.782972,-0.260425,0.366271,0.064971,-0.165384,-0.410179,-0.487165,-0.478024,-0.350411,0
-0.816529,1.064819,-0.51441,-0.664025,0.334927,0.181204,-0.082721,-0.58633,0.500838,1.047789,-0.451186,0
-1.11836,0.995439,0.560618,-0.754985,0.232796,0.072249,-0.775355,-0.241781,-0.506972,-1.160049,0.384262,0
-1.281666,0.768296,0.26367,-0.747679,0.281292,0.140176,-1.013361,-0.182896,-0.441559,-0.27522,-1.172602,0
0.745045,0.206036,-0.732171,-1.328638,-1.809886,0.545865,0.578654,0.582918,0.376742,-0.655723,1.745773,0
-1.705216,-0.555911,0.788103,-0.35289,-1.820838,0.130338,0.963535,0.588361,-0.496266,-0.510606,-0.39443,0
-1.824983,-0.457621,0.785611,-0.322937,-1.927942,-0.035928,1.087041,0.509309,-0.461805,-0.499921,-0.405623,0
-1.915746,-0.381604,0.784168,-0.298214,-2.012149,-0.165454,1.183006,0.448978,-0.435263,-0.490063,-0.411764,0
-1.984334,-0.325052,0.782318,-0.281314,-2.073335,-0.26023,1.254585,0.403177,-0.415473,-0.484444,-0.418658,0
-2.49997,0.98486,0.778064,-0.151673,-0.007851,-0.514826,0.257055,-0.678197,-0.368515,-0.434011,-0.380236,0
-1.706811,1.38073,0.475883,-0.610175,-0.240452,-0.663523,-0.260821,-0.571579,-0.352645,-1.110119,0.348908,0
-2.341378,0.834707,0.806836,-0.185354,0.130511,-0.303106,0.038827,-0.542156,-0.422773,-0.433741,-0.347082,0
-1.59393,0.11011,0.924962,-0.373973,0.834579,0.744008,-1.010446,0.096206,-0.677574,-0.453589,-0.229409,0
0.601331,1.544761,-1.216189,-1.350513,0.573669,0.940681,0.193794,-0.788655,0.451222,-0.890415,1.565881,0
-1.671257,1.456429,0.369779,-0.623491,-0.227546,-0.614843,-0.030431,-0.690901,-0.320859,-1.158782,0.296935,0
-2.291442,0.910853,0.684292,-0.210401,0.159369,-0.220402,0.291179,-0.673856,-0.392362,-0.501849,-0.41486,0
-0.162094,1.620279,-1.158807,-1.116613,0.050358,-0.004661,-0.079188,-0.7658,0.615608,0.274923,0.165191,0
-1.624744,1.49823,0.46723,-0.627724,-0.244385,-0.637722,-0.03421,-0.690813,-0.328449,-1.150176,0.29792,0
-1.018984,1.295068,-0.566615,-0.618157,0.138123,-0.102589,0.275646,-0.801183,0.580088,1.035834,-0.504096,0
1.300306,1.678065,-1.63495,-1.807523,0.446822,0.893274,-0.688325,-0.485223,0.425578,-1.534346,2.355205,0
-1.033275,0.902225,0.587901,-0.768999,0.311594,0.178077,-0.927279,-0.150017,-0.537366,-1.144509,0.412882,0
-0.975693,1.349797,-0.362868,-0.616777,0.13403,-0.142656,0.274695,-0.735903,0.49419,0.171352,1.089878,0
1.437687,1.202677,-2.041727,-1.876072,0.702108,1.346034,-1.28641,-0.3388,0.560306,1.097513,-2.345301,0
-0.875782,0.754482,0.600926,-0.815785,0.468543,0.41006,-1.130805,-0.027741,-0.588208,-1.158398,0.4247,0
-1.082405,1.267693,-0.474941,-0.588655,0.090291,-0.213546,0.123648,-0.724993,0.570053,1.097744,-0.453112,1
4.830308,3.212117,-3.383263,-3.125443,-0.227034,0.227573,-2.244826,-0.374794,-2.084332,0.846174,-1.544571,0
-1.618655,0.225598,0.825291,-0.373716,0.798387,0.712137,-0.741148,-0.05134,-0.631836,-0.494447,-0.284881,0
-2.243899,0.775017,0.782734,-0.214607,0.221834,-0.161838,-0.007057,-0.509109,-0.440857,-0.453826,-0.355147,0
-2.271899,0.798497,0.783576,-0.205692,0.194021,-0.203933,0.021678,-0.526712,-0.432845,-0.449402,-0.355092,0
-2.378814,0.88877,0.779252,-0.179074,0.097199,-0.352136,0.138391,-0.600599,-0.401524,-0.441627,-0.366312,0
-2.50389,0.995824,0.773004,-0.147708,-0.016722,-0.526005,0.278401,-0.688774,-0.364334,-0.432831,-0.379763,0
-1.672102,1.397369,0.514135,-0.618608,-0.231545,-0.654679,-0.259095,-0.574215,-0.355188,-1.109701,0.342269,0
-2.321584,0.827073,0.795967,-0.191954,0.150367,-0.27407,0.04127,-0.542198,-0.423722,-0.439058,-0.352042,0
-0.646042,1.810656,-0.853442,-0.97283,-0.373601,-0.740592,-0.204365,-0.753681,0.660127,0.450368,0.262222,0
-1.026062,0.600714,-0.126666,-0.347587,0.937222,0.956753,0.522572,-0.624354,0.336595,0.706587,0.329837,0
-1.027375,0.808771,0.590716,-0.771613,0.352743,0.229842,-1.079637,-0.063951,-0.562328,-1.130924,0.441757,0
-0.461528,-0.908208,0.373909,-0.950825,-1.472759,0.821766,-0.617819,1.250593,-0.613384,-0.295196,-1.127847,0
2.05253,-3.048039,-0.85839,-1.649144,-1.730195,0.13796,-0.275079,-3.018726,0.334105,0.018446,0.171544,0
0.935396,-3.743958,1.055817,-1.218339,-1.659946,-0.039466,-1.322075,-2.318701,-0.811069,-1.278104,0.507548,0
0.649909,-3.893044,0.74567,-1.185975,-1.700635,-0.120717,-1.463225,-2.326347,-0.713208,-0.382861,-1.062617,0
1.106876,-3.29337,-0.306255,-1.121686,-1.718789,-0.083209,0.214576,-3.132081,0.336438,0.791787,-0.505255,0
-0.342246,-0.581081,0.706399,-0.941483,-1.601608,0.64102,-0.261268,1.12105,-0.656427,-1.176649,0.416548,0
-1.340614,-0.932981,0.865026,-0.446087,-1.466077,0.643797,0.393148,0.929411,-0.627359,-0.50909,-0.328565,0
-1.091111,-1.157027,0.887707,-0.509211,-1.236377,0.992588,0.08787,1.118935,-0.706108,-0.523877,-0.297576,0
-1.635253,1.31999,0.476873,-0.62951,-0.172371,-0.562076,-0.338637,-0.523125,-0.372897,-1.115969,0.354078,0
-1.956408,0.489412,0.829939,-0.292576,0.501103,0.250662,-0.424039,-0.258655,-0.541317,-0.465379,-0.314799,0
0.113712,1.269523,-1.258825,-1.203758,0.340159,0.464563,-0.549456,-0.551298,0.584378,1.128047,-1.382477,0
-1.318471,1.04532,0.49699,-0.708588,0.115744,-0.121841,-0.70239,-0.294683,-0.468973,-1.137104,0.39046,0
1.034233,1.434499,-1.935037,-1.74471,0.342567,0.737539,-1.142338,-0.452375,0.645242,1.222182,-2.294268,0
-1.872302,0.444251,0.817971,-0.304316,0.557267,0.350244,-0.457533,-0.227242,-0.557536,-0.472213,-0.303811,0
-2.122504,0.662418,0.799773,-0.243301,0.330897,0.004987,-0.166091,-0.410367,-0.481291,-0.458025,-0.335218,0
-2.148164,0.677171,0.803758,-0.23827,0.311777,-0.027954,-0.154482,-0.420122,-0.475989,-0.454496,-0.336864,0
-1.288855,1.047867,0.55192,-0.717668,0.125769,-0.115095,-0.739961,-0.277731,-0.477828,-1.13242,0.389117,0
-2.316506,0.8217,0.796595,-0.194417,0.156005,-0.264709,0.033878,-0.538055,-0.426007,-0.441073,-0.352679,0
-1.694641,0.519912,0.585575,-0.377341,0.689194,0.631301,-0.062668,-0.424536,-0.525618,-0.61697,-0.430914,0
-0.155319,1.680567,-0.965262,-1.106077,-0.017181,-0.1229,-0.152991,-0.736629,0.602737,0.316382,0.186569,0
0.097844,0.774889,-0.907735,-0.874386,1.045812,1.357649,0.081206,-0.568356,0.432316,0.847084,-0.551534,0
-1.627057,1.452085,0.425767,-0.630743,-0.213659,-0.597256,-0.074271,-0.666579,-0.332817,-1.151611,0.302975,0
-2.272457,0.873612,0.702767,-0.217799,0.185858,-0.188157,0.219046,-0.634827,-0.405658,-0.497535,-0.407183,0
0.448978,0.964275,-1.438141,-1.076317,1.325384,2.024072,1.011854,-1.051551,0.4884,0.435598,-0.900984,0
-1.296668,1.255483,0.443446,-0.713399,0.049449,-0.178746,-0.303235,-0.512679,-0.410887,-1.19226,0.310515,0
-1.759562,0.366317,0.795809,-0.343028,0.668796,0.523257,-0.529405,-0.180602,-0.58311,-0.499898,-0.315928,0
-0.985439,0.852946,-0.417648,-0.36893,0.923693,1.009101,1.207199,-0.986148,0.440839,0.58237,0.183919,0
-0.173558,1.814778,-1.08632,-1.105765,-0.056081,-0.150283,0.168882,-0.910381,0.65564,0.267126,0.123184,0
-1.221184,-0.068763,0.806013,-0.469521,1.141336,1.255462,-1.073582,0.171637,-0.734019,-0.538162,-0.257034,0
-0.529988,1.354888,-0.458505,-0.715386,0.392631,0.319988,0.511184,-0.821099,0.479486,0.063916,1.011278,0
-2.194772,0.748678,0.774953,-0.221727,0.255763,-0.103452,-0.026335,-0.491163,-0.449826,-0.457477,-0.349272,0
0.380244,1.294895,-1.507404,-1.260767,0.52945,0.799418,-0.205974,-0.700571,0.616987,1.034845,-1.46116,0
-1.13296,1.015819,0.558029,-0.741857,0.210175,0.034016,-0.746131,-0.255933,-0.497356,-1.146826,0.392467,0
0.082516,-0.829224,-0.501392,-0.672528,-0.641761,2.090581,1.865293,0.327722,0.257208,0.391322,0.10922,0
-1.17899,-1.001555,0.811178,-0.481514,-1.344326,0.855097,0.383993,0.955173,-0.649508,-0.54325,-0.335464,0
-0.787881,-0.252056,0.475955,-0.8416,-1.940066,0.150243,0.341841,0.763432,-0.508862,-1.195775,0.342052,0
-0.842679,-0.466329,-0.091336,-0.371297,-1.428054,0.708321,1.770942,0.291742,0.383487,0.740956,0.305209,0
-0.720119,-1.405137,0.837278,-0.603227,-0.913396,1.504534,-0.15206,1.287471,-0.788681,-0.577682,-0.29137,0
-1.087515,0.73817,-0.210693,-0.320587,0.860113,0.841333,0.796268,-0.77372,0.395904,0.703613,0.298997,0
-0.613694,1.389752,-0.328302,-0.668775,0.29195,0.124642,0.417748,-0.778876,0.484102,0.144286,1.066635,0
-1.640624,0.284574,0.790162,-0.362221,0.761722,0.668208,-0.619884,-0.115552,-0.609454,-0.500787,-0.296972,0
-1.237029,0.77213,-0.121969,-0.27571,0.74083,0.627114,0.721725,-0.749222,0.40504,0.762627,0.336892,0
-1.640624,0.284574,0.790162,-0.362221,0.761722,0.668208,-0.619884,-0.115552,-0.609454,-0.500787,-0.296972,0
-1.237029,0.77213,-0.121969,-0.27571,0.74083,0.627114,0.721725,-0.749222,0.40504,0.762627,0.336892,0
-1.1956,1.035046,0.4986,-0.731924,0.184692,-0.006532,-0.682507,-0.294039,-0.478674,-1.152587,0.381533,0
-1.427117,0.082753,0.802774,-0.432955,0.983795,0.995315,-0.894302,0.046571,-0.678766,-0.52812,-0.291133,0
-0.970163,0.635923,-0.213688,-0.371841,0.980118,1.045794,0.676419,-0.70302,0.352685,0.657166,0.282238,0
-2.334677,0.86397,0.765944,-0.192996,0.138242,-0.287018,0.123714,-0.589008,-0.409168,-0.452931,-0.371904,0
-1.578344,1.394017,0.5336,-0.634849,-0.187581,-0.577276,-0.251727,-0.56982,-0.365119,-1.118951,0.338739,0
-0.806091,0.546561,-0.254803,-0.410254,1.116986,1.264465,0.619207,-0.653559,0.325752,0.631741,0.279811,0
-1.283637,1.101169,0.503122,-0.709891,0.106847,-0.128153,-0.607143,-0.343901,-0.456094,-1.142809,0.37626,0
-2.00141,0.572363,0.783665,-0.281493,0.450469,0.184848,-0.261747,-0.34965,-0.509949,-0.479071,-0.340641,0
-1.376689,0.803054,-0.041131,-0.240615,0.63278,0.440171,0.655109,-0.729647,0.410414,0.805241,0.363341,0
-1.554725,1.280507,0.452365,-0.648429,-0.106166,-0.454972,-0.355658,-0.504709,-0.384388,-1.130228,0.350763,0
0.049584,1.307142,-1.245601,-1.192165,0.291803,0.382459,-0.521548,-0.575569,0.59695,1.135479,-1.387802,0
-2.154704,0.695877,0.785435,-0.241299,0.309996,-0.030503,-0.110778,-0.446049,-0.467784,-0.46359,-0.350864,0
-2.401685,0.908489,0.773998,-0.177537,0.081803,-0.376851,0.167423,-0.620233,-0.394344,-0.445021,-0.375151,0
-2.480974,0.972945,0.775366,-0.15544,0.007663,-0.490587,0.245987,-0.669882,-0.372199,-0.435395,-0.378796,0
-1.654772,1.332773,0.477277,-0.626524,-0.185712,-0.585966,-0.325265,-0.53337,-0.367898,-1.114476,0.350758,0
-2.415995,0.907526,0.7897,-0.170199,0.067087,-0.402076,0.147466,-0.609827,-0.39557,-0.434441,-0.36494,0
-1.530932,0.859687,0.022366,-0.209555,0.512684,0.246481,0.643753,-0.742983,0.422622,0.829986,0.371457,0
-0.628008,0.379312,-0.221922,-0.438472,1.270799,1.482779,0.370487,-0.49704,0.271281,0.652274,0.328985,0
-0.046338,-0.989556,0.699176,-1.022332,-1.257155,1.144434,-0.826487,1.46082,-0.780271,-1.180589,0.4878,0
-0.442183,-0.796012,-0.090816,-0.486266,-1.05856,1.291647,1.366292,0.547186,0.264159,0.681312,0.322189,0
-0.74631,-0.626368,-0.002006,-0.381154,-1.332942,0.822013,1.457465,0.472605,0.327487,0.787311,0.371782,0
-0.333197,-0.803833,0.566883,-0.962296,-1.46283,0.840245,-0.49551,1.259569,-0.694747,-1.189538,0.44484,0
0.271305,-0.558967,-0.703042,-0.989021,-1.206117,1.319147,0.76995,0.621521,0.344852,0.803275,-0.585601,0
-0.980304,-0.50715,0.058615,-0.338389,-1.518872,0.533376,1.527202,0.404986,0.358641,0.805605,0.362363,0
-1.194604,0.837831,0.508356,-0.748414,0.281923,0.106545,-1.01411,-0.114962,-0.530916,-1.131955,0.425854,0
-1.408039,0.764699,0.023478,-0.231299,0.616098,0.399631,0.52517,-0.663741,0.3928,0.832889,0.392647,0
0.290984,0.653205,-0.60431,-0.953256,1.192685,1.589181,-0.230221,-0.33526,0.252365,-0.082656,1.031567,0
-0.594835,0.309143,-0.18562,-0.461572,1.317944,1.560444,0.239147,-0.427672,0.238785,0.638404,0.33171,0
0.123923,1.197668,-0.943219,-0.953432,0.957182,1.370357,0.921841,-0.979455,0.435114,-0.281383,0.780188,0
-0.313447,1.32723,-0.70907,-0.812904,0.596258,0.723763,0.772991,-0.941903,0.477366,-0.10346,0.889749,0
-2.200628,0.90714,0.605538,-0.252057,0.23826,-0.064992,0.389582,-0.721085,-0.395006,-0.568135,-0.465993,0
0.145359,0.484024,-1.046015,-0.876972,1.92667,2.962742,1.613218,-1.129779,0.25447,-0.141151,-0.280272,0
-1.1565,1.172019,0.127361,-0.806762,0.258963,0.223052,-0.098189,-0.607538,-0.413397,-1.362301,0.192243,0
0.801381,0.7866,-1.597161,-1.203628,1.638582,2.597412,0.995754,-1.009325,0.420465,0.277791,-0.978681,0
-1.455499,0.495439,0.429376,-0.422015,0.854483,0.92121,0.111714,-0.484949,-0.520523,-0.676799,-0.467389,0
-1.510534,1.346268,0.343267,-0.67549,-0.077618,-0.372358,-0.132825,-0.622295,-0.359958,-1.198783,0.284795,0
-0.130178,1.213167,-0.91978,-0.869775,0.797153,1.062417,0.835058,-0.947892,0.466033,-0.18054,0.850629,0
-0.222395,0.575041,-0.760308,-0.58778,1.546701,2.092497,1.317072,-0.964739,0.353596,0.335806,0.053859,0
0.040603,0.508763,-0.924214,-0.70069,1.774219,2.534925,1.456748,-1.020948,0.320956,0.170969,-0.056202,0
-1.100775,1.083174,0.283063,-0.769805,0.268537,0.174937,-0.377292,-0.443939,-0.444944,-1.247503,0.300169,0
-0.424962,0.5793,0.120069,-1.003929,0.932371,1.261328,-0.822971,-0.146527,-0.618285,-1.44516,0.235277,0
-0.17469,0.585115,-0.82109,-0.630647,1.593485,2.213918,1.414469,-1.018661,0.347285,0.255596,-0.006965,0
-1.531201,1.357942,0.350536,-0.666245,-0.098075,-0.408097,-0.127805,-0.626067,-0.355191,-1.188355,0.291099,0
-0.840009,-0.040292,0.448905,-0.612474,1.441911,1.844619,-0.573177,-0.063732,-0.717464,-0.777868,-0.447665,0
-0.995329,0.829373,-0.38225,-0.363568,0.915627,0.993757,1.135586,-0.947778,0.429154,0.596393,0.202517,0
-1.652198,1.394853,0.322887,-0.6385,-0.173438,-0.532579,-0.082341,-0.659918,-0.332324,-1.174021,0.293661,0
-1.065205,0.84366,-0.343705,-0.354464,0.865106,0.91673,1.105504,-0.941701,0.427445,0.601716,0.204868,0
-0.041937,1.158887,-0.933962,-0.885458,0.870241,1.170863,0.784978,-0.909906,0.451348,-0.182198,0.858947,0
-0.482928,1.555469,-0.103536,-1.2067,-0.060583,-0.123423,-0.756297,-0.431221,-0.392662,-1.939048,0.998118,0
0.723716,2.024022,-1.860714,-1.645248,-0.01999,0.165455,-0.194191,-0.860857,0.675429,-0.564994,0.758987,0
-0.913597,0.012784,0.470424,-0.566839,1.35785,1.692777,-0.535702,-0.083841,-0.692142,-0.723432,-0.412762,0
-1.629968,1.463144,0.415388,-0.632573,-0.215892,-0.597396,-0.047583,-0.681873,-0.328883,-1.15847,0.294988,0
-0.675947,0.699586,-0.513375,-0.454634,1.181041,1.446765,1.147297,-0.920902,0.388531,0.500819,0.154772,0
-1.585903,1.344873,0.321626,-0.650914,-0.117089,-0.448897,-0.142637,-0.61938,-0.347876,-1.173771,0.303484,0
0.059859,1.234498,-0.741984,-0.905398,0.848995,1.155135,0.77321,-0.908842,0.429504,-0.182837,0.849416,0
-1.946531,0.660693,0.654605,-0.298401,0.467074,0.257498,0.019508,-0.492124,-0.475606,-0.543348,-0.401285,0
-0.890973,1.673574,-0.159814,-1.117853,-0.31424,-0.5454,-0.642275,-0.527953,-0.32082,-1.889464,1.004997,0
-2.266793,0.877188,0.701907,-0.207431,0.180036,-0.202595,0.225237,-0.633844,-0.401149,-0.481958,-0.393805,0
-0.901379,0.728981,-0.357721,-0.384209,1.005987,1.119907,0.978006,-0.853406,0.395355,0.60416,0.225633,0
-0.374847,1.097999,-0.864417,-0.785507,0.649139,0.763569,0.427225,-0.812533,0.528643,0.856632,-0.605231,0
-1.370152,1.245009,0.422936,-0.698726,0.021575,-0.235014,-0.327015,-0.50523,-0.404063,-1.179108,0.319377,0
0.303243,0.8333,-1.17091,-1.017994,1.230388,1.799078,0.508196,-0.795312,0.431599,0.577728,-0.765421,0
-0.395639,0.503387,-0.554471,-0.547985,1.441182,1.876073,0.960448,-0.796904,0.315523,0.424655,0.132437,0
-1.609822,1.375858,0.398092,-0.64003,-0.161839,-0.525823,-0.168786,-0.611622,-0.349159,-1.152267,0.31454,0
-0.136521,0.716389,-1.014171,-0.735412,1.62653,2.439012,1.854264,-1.269063,0.356939,0.004797,-0.20763,0
-2.22773,0.952314,0.583829,-0.247265,0.206227,-0.099668,0.476696,-0.7701,-0.380889,-0.581044,-0.481323,0
-1.774192,1.513647,0.299139,-0.617038,-0.283975,-0.685674,0.097109,-0.770806,-0.294321,-1.188369,0.261453,0
0.951626,-0.731528,-1.364272,-1.092415,0.044731,3.621282,3.158068,-0.306307,0.248201,-0.373534,-0.463136,0
1.33011,0.129154,-2.022368,-1.646141,-1.197064,1.888843,1.688415,-0.081839,0.581326,0.485784,-1.889367,1
-0.341377,0.560937,0.869701,-0.265264,-2.090425,-0.550798,1.789509,0.183642,-3.283409,0.368901,-0.234652,1
4.322776,-0.262174,-1.541686,-1.588772,3.399973,-1.541018,4.552019,0.421177,-1.875796,-0.008412,-1.120314,0
2.430288,-0.751304,-2.164663,-1.821471,2.683826,-2.339082,3.355283,0.752815,1.138489,-1.328445,-0.445682,0
0.316321,-1.280034,0.088175,-1.041811,2.025485,-3.91038,1.913342,1.590798,0.110338,-2.16555,0.192584,0
3.04967,-0.274731,-2.859868,-4.919909,2.717226,-0.028865,3.444358,0.005866,0.747892,-1.866738,0.268002,0
0.692912,0.036423,-1.064862,-1.163764,-1.097776,1.781246,2.322305,-0.125199,0.403571,-0.526612,0.578211,0
2.283637,0.105891,-2.407915,-1.98739,-0.499504,3.236946,2.425081,-0.337623,0.441177,-0.904048,-0.665192,0
-0.685974,-1.380464,0.781309,-0.633627,-0.89123,1.591496,-0.038589,1.227143,-0.790322,-0.647199,-0.341448,0
1.977143,0.235708,-1.968429,-1.761038,-0.827135,2.472286,2.169127,-0.142271,0.431674,-1.402034,1.179672,0
0.674033,0.10252,-0.929369,-1.126326,-1.178296,1.621366,2.293443,-0.113005,0.413499,-0.45359,0.621326,0
0.237588,-0.59085,-0.889445,-0.79897,-0.552623,2.44691,2.689698,-0.110845,0.318714,0.068661,-0.164832,0
1.915295,0.860707,-2.060926,-2.060578,-1.652895,1.362738,1.571884,-0.093345,0.509244,-1.967955,1.948491,0
-1.675805,-0.399188,0.603195,-0.37602,-1.826603,0.186536,1.399753,0.356913,-0.437609,-0.609734,-0.497617,0
0.981088,1.37515,-2.102876,-1.545842,0.99853,1.840999,0.704608,-1.147635,0.617474,0.51534,-1.854401,0
0.31225,1.062862,-1.427052,-1.06864,1.200537,1.89121,1.138205,-1.137406,0.500566,0.388029,-0.940653,0
0.513327,1.910328,-0.971793,-1.823393,-0.039295,0.313551,-0.819956,-0.621439,-0.290588,-2.041533,-0.090035,1
1.884352,2.080663,-1.204148,-1.072716,1.112284,1.521691,1.835831,-1.400065,-2.444427,0.286172,0.761678,0
-0.541356,-0.927387,0.192804,-0.73478,-0.858155,1.87039,1.298342,0.520211,-0.627183,-0.995193,-0.683154,0
-1.111054,0.154755,0.322516,-0.77695,-2.252552,-0.278987,1.043168,0.351312,-0.365017,-1.249812,0.223722,0
1.896233,0.10737,-2.176728,-1.851176,-0.775982,2.684928,2.079249,-0.184178,0.455677,-0.693892,-0.512591,0
-0.339815,-1.056396,0.154568,-0.796538,-0.67786,2.168225,1.19039,0.597039,-0.673483,-1.045696,-0.69725,0
0.823287,2.261977,-1.793772,-1.710096,-0.030277,0.243951,0.266651,-1.051066,0.620398,-1.60517,2.197436,0
0.457625,0.516929,-1.299518,-0.903767,2.11111,3.27613,1.980871,-1.274361,0.299194,-0.186145,-0.31468,0
-0.871977,0.860102,-0.529393,-0.44615,1.017725,1.25439,1.378423,-1.074501,0.423762,0.43643,0.082418,0
-2.299111,0.969359,0.628258,-0.218178,0.145954,-0.21683,0.437557,-0.754684,-0.372742,-0.538427,-0.453228,0
-2.359827,0.991515,0.654136,-0.203654,0.097955,-0.297558,0.43105,-0.758338,-0.366849,-0.524056,-0.446885,0
-1.500907,1.311043,0.188977,-0.700893,-0.015636,-0.245716,-0.043018,-0.665244,-0.354074,-1.261877,0.243336,0
-0.802972,0.106059,0.255437,-0.675547,1.457002,1.986006,-0.127143,-0.30819,-0.681243,-0.951452,-0.599397,0
0.614246,0.46816,-1.381718,-0.955121,2.241784,3.509728,2.028961,-1.285387,0.282921,-0.250557,-0.354286,0
1.899828,-3.704137,-0.812918,-1.164818,-0.355129,2.219351,2.069825,-3.745227,0.198331,-0.163008,-0.188822,0
3.160457,-1.876992,-2.350511,-2.56334,-2.46054,-0.363879,-0.189315,-3.585519,0.732606,0.164024,-1.836648,0
2.533605,-0.72201,-2.407181,-1.738776,0.543739,4.666634,2.82483,-0.256128,0.312895,-0.358867,-1.416458,0
1.524993,0.070361,-2.10017,-1.657893,-1.055526,2.074244,1.706862,-0.06208,0.585107,0.509034,-1.86784,0
0.114948,1.865886,-1.22288,-1.20165,0.159869,0.253513,0.554803,-1.023587,0.584516,-0.782866,1.582407,0
0.833474,0.933227,-1.771423,-1.22284,1.633414,2.649558,1.405979,-1.225306,0.476231,0.188807,-1.071438,0
-0.494753,0.764951,-0.733964,-0.527411,1.311017,1.732874,1.519117,-1.104176,0.413235,0.355421,0.034019,0
0.928621,1.7237,-1.688538,-1.512747,0.810997,1.511119,1.041173,-1.220701,0.508686,-1.232136,1.277094,0
3.504331,1.47181,-3.464392,-2.560408,2.139042,4.195659,1.235612,-1.439687,0.543087,-0.920288,-1.647208,0
0.124221,1.175503,-1.375582,-1.000688,1.034758,1.588761,1.204278,-1.189979,0.547824,0.465065,-0.909826,0
1.081521,1.703959,-1.850269,-1.586719,0.952099,1.798671,1.212916,-1.301155,0.499883,-1.35756,1.188103,0
