@relation seismic-bumps-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {1,0}

@data
1.732051,2431.799334,1260.932988,1309.430411,-469.385769,-2508.009569,-1645.448267,1732.050808,-1160.474041,-1732.050808,0
0,10395.768947,296.180688,400.103737,-10094.392107,-10523.940707,-10258.936933,10394.036896,-10092.660056,-10392.304845,0
1.732051,1042.694586,755.174152,850.436947,-282.324282,-1136.22533,-940.503589,1039.230485,-280.592231,-1039.230485,0
0,10402.69715,1804.796941,1735.514909,-1657.572623,-10307.434356,-3543.775952,3465.833666,-8585.775853,-3464.101615,0
0,10395.768947,412.228092,370.658873,-9978.344702,-10373.252287,-10409.625353,10394.036896,-9976.612652,-10392.304845,0
0,3467.565717,623.538291,713.604933,-2838.831274,-3542.043901,-3384.427278,3465.833666,-2838.831274,-3464.101615,0
5.196152,2608.468516,1958.949463,1855.026415,921.45103,-2443.923689,-1188.186854,1035.766383,-632.198545,-1039.230485,0
0,10395.768947,439.940905,389.711432,-9950.631889,-10298.774102,-10484.103538,10394.036896,-9948.899839,-10392.304845,0
1.732051,1215.899667,606.217783,698.016475,-604.485732,-1304.234258,-1118.904822,1212.435565,-602.753681,-1212.435565,1
6.928203,27215.714339,2369.445505,2204.900678,-14949.33052,-27016.528496,-17485.052902,17315.311923,-24815.09192,-17320.508076,0
0,0,458.993464,405.299889,460.725515,69.282032,-69.282032,1.732051,462.457566,0,0
0,0,200.917894,277.128129,202.649944,-79.674337,79.674337,1.732051,204.381995,0,0
0,0,192.25764,268.467875,193.98969,-93.530744,93.530744,1.732051,195.721741,0,0
0,0,138.564065,239.023011,140.296115,-114.315353,114.315353,1.732051,142.028166,0,0
0,0,79.674337,207.846097,81.406388,-140.296115,140.296115,1.732051,83.138439,0,0
0,8663.718139,109.119201,214.7743,-8549.402786,-8748.588629,-8570.187396,8661.986089,-8547.670735,-8660.254038,0
0,0,140.296115,221.702503,142.028166,-103.923048,103.923048,1.732051,143.760217,0,0
1.732051,4683.465384,457.261413,571.576766,-3005.108151,-4783.924331,-3353.250363,3464.101615,-4215.811666,-3464.101615,0
0,0,1188.186854,1196.847108,1189.918905,-13.856406,13.856406,1.732051,1189.918905,0,0
0,8663.718139,351.606314,280.592231,-8306.915673,-8639.469428,-8679.306597,8661.986089,-8305.183622,-8660.254038,0
1.732051,869.489505,341.214009,280.592231,-523.079344,-718.801085,-1011.517672,867.757455,-519.615242,-866.025404,0
3.464102,3122.887606,1702.605944,1636.788013,-29.444864,-3091.710692,-1756.299519,1732.050808,-1413.353459,-1732.050808,0
1.732051,10394.036896,457.261413,308.305044,-9935.043432,-10283.185645,-10501.424046,10394.036896,-9933.311381,-10392.304845,0
3.464102,521.347293,372.390924,284.056332,-147.224319,-361.998619,-677.231866,519.615242,-143.760217,-519.615242,0
3.464102,694.552374,1279.985547,1279.985547,587.165224,-710.140831,-675.499815,692.820323,588.897275,-692.820323,0
0,12127.819755,320.429399,261.539672,-11802.194203,-12037.753113,-12209.226143,12127.819755,-11800.462152,-12124.355653,0
0,0,240.755062,247.683265,242.487113,38.105118,-38.105118,3.464102,244.219164,0,0
0,0,329.089653,278.86018,330.821704,93.530744,-93.530744,3.464102,332.553755,0,0
0,6931.667332,155.884573,228.630707,-6770.586607,-7026.930126,-6827.744283,6929.935281,-6768.854556,-6928.20323,0
0,0,230.362757,259.807621,232.094808,24.248711,-24.248711,1.732051,233.826859,0,0
3.464102,1392.568849,1326.750919,1319.822715,635.662646,-1383.908595,-691.088272,691.088272,-53.693575,-692.820323,0
0,6931.667332,294.448637,292.716586,-6632.022542,-6964.576297,-6890.098113,6929.935281,-6630.290491,-6928.20323,0
5.196152,2435.263435,1687.017487,1631.591861,476.313972,-2355.589098,-1276.521445,1208.971464,-730.925441,-1212.435565,0
0,0,349.874263,325.625552,351.606314,-19.052559,19.052559,1.732051,353.338365,0,0
0,0,237.290961,275.396078,239.023011,-64.08588,64.08588,1.732051,240.755062,0,0
0,0,207.846097,258.07557,209.578148,-57.157677,57.157677,1.732051,211.310199,0,0
0,8663.718139,228.630707,254.611469,-8429.89128,-8649.861733,-8668.914292,8661.986089,-8428.15923,-8660.254038,0
0,0,133.367912,214.7743,135.099963,-100.458947,100.458947,1.732051,136.832014,0,0
0,0,815.79593,824.456184,817.527981,-5.196152,5.196152,1.732051,819.260032,0,0
1.732051,7454.746676,1016.713824,1087.727907,-5909.757355,-7501.512048,-6871.045554,6928.20323,-6427.640547,-6928.20323,0
1.732051,1562.309828,2438.727537,2359.0532,881.613861,-1576.166235,-1539.793168,1558.845727,883.345912,-1558.845727,0
0,8663.718139,332.553755,433.012702,-8325.968232,-8783.229645,-8535.54638,8661.986089,-8324.236181,-8660.254038,0
0,0,301.376841,405.299889,303.108891,-95.262794,95.262794,1.732051,304.840942,0,0
1.732051,1389.104748,3081.318387,3091.710692,1697.409791,-1344.071427,-1425.477815,1385.640646,1699.141842,-1385.640646,0
0,10395.768947,526.543446,571.576766,-9864.029349,-10458.122776,-10324.754864,10394.036896,-9862.297298,-10392.304845,0
0,0,413.960143,400.103737,415.692194,41.569219,-41.569219,1.732051,417.424245,0,0
0,0,1848.098212,1924.308447,1849.830262,-62.353829,62.353829,1.732051,1849.830262,0,0
1.732051,7454.746676,1269.593242,1371.78424,-5656.877938,-7534.421013,-6838.136588,6928.20323,-6174.761129,-6928.20323,0
0,0,748.245949,587.165224,749.978,102.190998,-102.190998,1.732051,751.71005,0,0
0,8663.718139,1337.143223,1397.765002,-7321.378764,-8734.732223,-8584.043802,8661.986089,-7321.378764,-8660.254038,0
0,0,273.664028,322.16145,275.396078,-100.458947,100.458947,1.732051,277.128129,0,0
3.464102,1046.158688,2163.331459,2147.743001,1645.448267,-1063.479196,-491.902429,517.883191,1129.297127,-519.615242,0
0,10395.768947,431.280651,403.567838,-9959.292144,-10420.017658,-10362.859982,10394.036896,-9957.560093,-10392.304845,0
0,0,2132.154544,2123.49429,2133.886595,38.105118,-38.105118,3.464102,2133.886595,0,0
0,0,481.510125,434.744753,483.242175,10.392305,-10.392305,3.464102,484.974226,0,0
0,6931.667332,382.783228,386.24733,-6543.687951,-6985.360907,-6869.313503,6931.667332,-6541.9559,-6928.20323,0
0,0,1113.708669,1193.383006,1115.44072,-93.530744,93.530744,3.464102,1115.44072,0,0
0,0,661.643408,540.399852,663.375459,147.224319,-147.224319,3.464102,665.10751,0,0
0,0,1451.458577,1493.027796,1453.190628,-53.693575,53.693575,1.732051,1453.190628,0,0
0,10395.768947,1205.507362,1266.12914,-9185.065433,-10484.103538,-10298.774102,10394.036896,-9185.065433,-10392.304845,0
0,0,561.184462,498.830633,562.916512,24.248711,-24.248711,1.732051,564.648563,0,0
0,0,1205.507362,1260.932988,1207.239413,-60.621778,60.621778,1.732051,1207.239413,0,0
0,0,561.184462,498.830633,562.916512,24.248711,-24.248711,1.732051,564.648563,0,0
0,0,1205.507362,1260.932988,1207.239413,-60.621778,60.621778,1.732051,1207.239413,0,0
0,8663.718139,460.725515,448.601159,-8197.796472,-8691.430952,-8627.345073,8661.986089,-8196.064421,-8660.254038,0
0,0,571.576766,519.615242,573.308817,155.884573,-155.884573,1.732051,575.040868,0,0
0,0,1368.320138,1401.229103,1370.052189,1.732051,-1.732051,1.732051,1370.052189,0,0
0,0,181.865335,284.056332,183.597386,-96.994845,96.994845,1.732051,185.329436,0,0
0,10395.768947,206.114046,296.180688,-10184.458749,-10485.835589,-10297.042051,10394.036896,-10182.726698,-10392.304845,0
0,0,1584.826489,1588.290591,1586.55854,15.588457,-15.588457,1.732051,1586.55854,0,0
0,8663.718139,398.371686,405.299889,-8260.150301,-8705.287359,-8613.488666,8661.986089,-8258.41825,-8660.254038,0
0,0,313.501196,360.266568,315.233247,0,0,1.732051,316.965298,0,0
0,0,928.379233,999.393316,930.111284,-60.621778,60.621778,1.732051,930.111284,0,0
0,6931.667332,271.931977,330.821704,-6654.539203,-7021.733974,-6832.940436,6929.935281,-6652.807152,-6928.20323,0
3.464102,1392.568849,1240.148378,1264.39709,375.855025,-1364.856036,-883.345912,864.293353,-140.296115,-866.025404,0
0,0,226.898656,299.64479,228.630707,-38.105118,38.105118,1.732051,230.362757,0,0
0,0,116.047404,235.55891,117.779455,-100.458947,100.458947,1.732051,119.511506,0,0
0,0,77.942286,207.846097,79.674337,-124.707658,124.707658,1.732051,81.406388,0,0
0,6931.667332,136.832014,223.434554,-6789.639166,-7016.537821,-6838.136588,6929.935281,-6787.907115,-6928.20323,0
0,0,90.066642,199.185843,91.798693,-114.315353,114.315353,1.732051,93.530744,0,0
0,0,627.002392,723.997238,628.734443,-58.889727,58.889727,1.732051,628.734443,0,0
0,0,1725.122604,1666.232877,1726.854655,25.980762,-25.980762,1.732051,1726.854655,0,0
0,8663.718139,382.783228,228.630707,-8275.738759,-8488.781008,-8829.995017,8663.718139,-8274.006708,-8660.254038,0
0,0,1240.148378,1241.880429,1241.880429,1.732051,-1.732051,3.464102,1241.880429,0,0
0,0,1056.550993,1085.995856,1058.283043,-72.746134,72.746134,3.464102,1058.283043,0,0
0,5199.616524,358.534517,252.879418,-4835.885855,-5092.229374,-5298.34342,5199.616524,-4834.153804,-5196.152423,0
1.732051,349.874263,1222.82787,1224.559921,878.149759,-258.07557,-433.012702,348.142212,879.88181,-346.410162,0
0,0,656.447256,737.853644,658.179307,-71.014083,71.014083,3.464102,658.179307,0,0
0,5199.616524,258.07557,240.755062,-4936.344802,-5147.655,-5242.917795,5197.884474,-4934.612751,-5196.152423,0
0,0,760.370305,820.992083,762.102355,-53.693575,53.693575,1.732051,762.102355,0,0
0,5199.616524,1848.098212,1732.050808,-3346.32216,-5107.817832,-5282.754963,5197.884474,-3346.32216,-5196.152423,0
0,0,1546.721371,1482.635491,1548.453422,64.08588,-64.08588,1.732051,1548.453422,0,0
0,6931.667332,2293.235269,2314.019879,-4633.23591,-6938.595535,-6916.078875,6929.935281,-4633.23591,-6928.20323,0
0,6931.667332,1702.605944,1761.495671,-5223.865236,-6981.896805,-6872.777604,6929.935281,-5223.865236,-6928.20323,0
0,0,453.797312,564.648563,455.529362,-96.994845,96.994845,1.732051,457.261413,0,0
0,0,2305.359625,2317.483981,2307.091676,169.740979,-169.740979,1.732051,2307.091676,0,0
0,5199.616524,822.724134,876.417709,-4371.696238,-5220.401134,-5170.171661,5197.884474,-4369.964187,-5196.152423,0
1.732051,523.079344,3329.001652,3266.647823,2811.118461,-455.529362,-581.969071,519.615242,2812.850511,-519.615242,0
0,0,1432.406018,1390.836798,1434.138069,-55.425626,55.425626,1.732051,1435.870119,0,0
0,6931.667332,448.601159,533.471649,-6477.87002,-7018.269872,-6836.404537,6929.935281,-6476.13797,-6928.20323,0
0,3467.565717,2156.403255,2180.651967,-1305.966309,-3517.79519,-3408.675989,3465.833666,-1305.966309,-3464.101615,0
0,0,2904.649204,2875.204341,2906.381255,-17.320508,17.320508,1.732051,2906.381255,0,0
0,0,3096.906844,3057.069675,3098.638895,29.444864,-29.444864,1.732051,3098.638895,0,0
0,6931.667332,888.542064,879.88181,-6037.929115,-6987.092958,-6867.581452,6929.935281,-6036.197064,-6928.20323,0
0,5199.616524,1191.650956,1122.368923,-4002.769416,-5033.339647,-5357.233148,5197.884474,-4001.037365,-5196.152423,0
0,0,2842.295375,2823.242816,2844.027426,3.464102,-3.464102,1.732051,2844.027426,0,0
0,6931.667332,446.869108,530.007547,-6479.602071,-7028.662177,-6826.012233,6929.935281,-6477.87002,-6928.20323,0
0,0,1496.491898,1359.659884,1498.223949,142.028166,-142.028166,1.732051,1499.955999,0,0
0,0,1764.959773,1820.385399,1766.691824,-76.210236,76.210236,1.732051,1766.691824,0,0
0,5199.616524,382.783228,479.778074,-4811.637143,-5313.931878,-5076.640917,5197.884474,-4809.905093,-5196.152423,0
0,0,1564.041879,1628.127759,1565.77393,-71.014083,71.014083,1.732051,1565.77393,0,0
0,3467.565717,2293.235269,2300.163472,-1169.134295,-3510.866987,-3415.604193,3465.833666,-1169.134295,-3464.101615,0
0,13863.334664,843.508743,841.776692,-7815.013244,-13894.511578,-8618.684818,8661.986089,-13009.433616,-8660.254038,0
1.732051,4686.929485,1884.471279,1920.844346,154.152522,-4735.426908,-1667.964928,1732.050808,-2788.6018,-1732.050808,0
0,0,1590.022641,1434.138069,1591.754692,77.942286,-77.942286,1.732051,1593.486743,0,0
0,8663.718139,339.481958,446.869108,-8319.040029,-8779.765544,-8539.010481,8661.986089,-8317.307978,-8660.254038,0
0,0,2187.58017,2203.168627,2189.312221,-45.033321,45.033321,1.732051,2189.312221,0,0
0,5199.616524,455.529362,535.2037,-4738.89101,-5308.735725,-5081.837069,5197.884474,-4737.158959,-5196.152423,0
0,10395.768947,2092.317376,2114.834036,-8298.255419,-10407.893303,-10374.984337,10394.036896,-8298.255419,-10392.304845,0
0,0,616.610087,656.447256,618.342138,-53.693575,53.693575,1.732051,620.074189,0,0
0,6935.131434,531.739598,590.629325,-4662.680774,-6997.485263,-5123.406289,5197.884474,-6392.999531,-5196.152423,0
0,0,386.24733,472.84987,387.979381,-122.975607,122.975607,1.732051,389.711432,0,0
0,0,1789.208484,1825.581551,1790.940535,-45.033321,45.033321,1.732051,1790.940535,0,0
1.732051,1562.309828,1834.241805,1865.41872,277.128129,-1610.807251,-1505.152152,1558.845727,278.86018,-1558.845727,0
0,8663.718139,471.11782,526.543446,-8187.404167,-8720.875816,-8597.900209,8661.986089,-8185.672117,-8660.254038,0
1.732051,1562.309828,2504.545468,2475.100604,947.431792,-1505.152152,-1610.807251,1558.845727,949.163843,-1558.845727,0
0,0,2286.307066,2268.986558,2288.039117,34.641016,-34.641016,1.732051,2288.039117,0,0
0,6931.667332,336.017857,426.084499,-6590.453323,-7033.85833,-6820.81608,6929.935281,-6588.721272,-6928.20323,0
0,0,2568.631348,2570.363398,2570.363398,-1.732051,1.732051,1.732051,2570.363398,0,0
0,0,464.189616,573.308817,465.921667,-122.975607,122.975607,1.732051,467.653718,0,0
0,5199.616524,296.180688,424.352448,-4898.239684,-5338.180589,-5052.392206,5197.884474,-4896.507633,-5196.152423,0
0,0,3128.083758,3093.442742,3129.815809,51.961524,-51.961524,3.464102,3129.815809,0,0
3.464102,1565.77393,2546.114687,2554.774941,1508.616253,-1579.630337,-1014.981773,1039.230485,992.465113,-1039.230485,1
0,17322.240126,290.984536,417.424245,-17027.791489,-17448.679835,-17190.604265,17323.972177,-17026.059438,-17320.508076,1
1.732051,35685.442788,3166.188876,3131.54786,-31473.095224,-35642.141518,-34675.657168,34641.016151,-32512.325709,-34641.016151,0
1.732051,4163.850141,2369.445505,2391.962165,-1092.92406,-4181.170649,-3436.388802,3464.101615,-1785.744383,-3464.101615,0
0,5199.616524,337.749907,344.678111,-4856.670464,-5253.310099,-5137.262695,5197.884474,-4856.670464,-5196.152423,0
1.732051,6765.390454,3729.105389,3661.555407,266.735824,-6685.716117,-3528.187495,3464.101615,-3024.16071,-3464.101615,0
0,8663.718139,2137.350697,2178.919916,-6521.17129,-8703.555308,-8615.220717,8663.718139,-6521.17129,-8660.254038,0
1.732051,6415.516191,3526.455444,3477.958022,-1667.964928,-6353.162362,-5248.113947,5197.884474,-2878.668442,-5196.152423,0
0,0,627.002392,490.170379,628.734443,124.707658,-124.707658,3.464102,630.466494,0,0
0,8667.182241,3678.875915,3628.646442,-3247.595264,-8687.966851,-6897.026316,6931.667332,-4979.646072,-6928.20323,0
0,12127.819755,2132.154544,2182.384018,-9990.469058,-12179.781279,-12067.197976,12127.819755,-9990.469058,-12124.355653,0
0,0,2450.851893,2462.976248,2452.583944,-25.980762,25.980762,3.464102,2452.583944,0,0
0,13866.798765,2213.560932,2239.541694,-4712.910247,-13871.994918,-6907.418621,6931.667332,-11641.113478,-6928.20323,0
0,0,542.131903,642.59085,543.863954,-135.099963,135.099963,3.464102,545.596004,0,0
3.464102,1219.363769,2902.917153,2878.668442,2038.623801,-1222.82787,-852.168997,864.293353,1695.677741,-866.025404,0
1.732051,1389.104748,2719.319768,2708.927463,1335.411173,-1413.353459,-1356.195782,1385.640646,1337.143223,-1385.640646,0
1.732051,16811.285138,1299.038106,1286.91375,-9091.534689,-16790.500529,-10397.500998,10392.304845,-15496.658575,-10392.304845,1
0,22521.856651,2482.028807,2487.22496,-14836.747218,-22504.536143,-17329.16833,17322.240126,-20032.89964,-17320.508076,0
0,0,1622.931607,1565.77393,1624.663657,6.928203,-6.928203,3.464102,1626.395708,0,0
0,6931.667332,443.405007,555.988309,-6483.066173,-7070.231396,-6784.443013,6931.667332,-6481.334122,-6928.20323,0
1.732051,4510.260303,3006.840202,2979.127389,-455.529362,-4460.030829,-3503.938784,3465.833666,-1493.027796,-3464.101615,0
0,0,1751.103366,1664.500826,1752.835417,48.497423,-48.497423,3.464102,1754.567468,0,0
0,10402.69715,1740.711062,1797.868738,-3453.70931,-10459.854827,-5123.406289,5197.884474,-8649.861733,-5196.152423,0
0,0,3464.101615,3400.015735,3465.833666,43.30127,-43.30127,1.732051,3465.833666,0,0
0,0,1782.280281,1837.705907,1784.012332,-69.282032,69.282032,1.732051,1784.012332,0,0
0,0,401.835787,516.151141,403.567838,-131.635861,131.635861,1.732051,405.299889,0,0
0,0,299.64479,424.352448,301.376841,-131.635861,131.635861,1.732051,303.108891,0,0
0,3467.565717,566.380614,642.59085,-2895.98895,-3562.828511,-3363.642668,3465.833666,-2894.256899,-3464.101615,0
0,0,1557.113676,1446.262424,1558.845727,117.779455,-117.779455,1.732051,1560.577778,0,0
0,0,3665.019509,3588.809273,3666.75156,62.353829,-62.353829,1.732051,3666.75156,0,0
1.732051,-1.732051,3600.933629,3538.5798,3600.933629,5.196152,-6.928203,1.732051,3600.933629,0,0
6.928203,7286.737747,2243.005796,2275.914761,-2953.146627,-7316.182611,-5149.387051,5192.688321,-5026.411444,-5196.152423,0
1.732051,523.079344,5248.113947,5093.961425,4730.230755,-419.156295,-618.342138,521.347293,4731.962806,-519.615242,0
3.464102,1912.184092,3157.528622,3150.600419,2120.030188,-1924.308447,-1016.713824,1039.230485,1257.468886,-1039.230485,0
0,8667.182241,1751.103366,1823.8495,-3443.317005,-8757.248883,-5095.693476,5197.884474,-6907.418621,-5196.152423,0
1.732051,523.079344,3677.143864,3635.574645,3159.260673,-504.026785,-533.471649,519.615242,3160.992724,-519.615242,0
0,0,2617.12877,2641.377482,2618.860821,-55.425626,55.425626,1.732051,2618.860821,0,0
0,10399.233049,2572.095449,2603.272364,-4354.37573,-10392.304845,-6924.739129,6929.935281,-7818.477345,-6928.20323,0
3.464102,10749.107312,5694.983055,5542.562584,-2963.538932,-10584.562485,-8809.210407,8658.521987,-5038.535799,-8660.254038,0
1.732051,1562.309828,2667.358244,2705.463361,1110.244568,-1598.682895,-1517.276507,1558.845727,1111.976618,-1558.845727,0
0,10399.233049,2757.424886,2786.869749,-2436.995486,-10373.252287,-5211.74088,5197.884474,-7633.147909,-5196.152423,0
1.732051,523.079344,5263.702404,5154.583203,4745.819213,-360.266568,-677.231866,519.615242,4747.551264,-519.615242,0
0,0,3526.455444,3526.455444,3528.187495,19.052559,-19.052559,1.732051,3528.187495,0,0
0,3467.565717,3180.045283,3190.437588,-282.324282,-3405.211888,-3521.259292,3465.833666,-282.324282,-3464.101615,1
3.464102,35683.710738,6446.693106,6289.076482,-28194.323046,-35401.386456,-34918.144281,34641.016151,-29231.821479,-34641.016151,0
1.732051,11268.722554,5298.34342,5235.989591,-1628.127759,-11159.603353,-7021.733974,6929.935281,-5956.522727,-6928.20323,0
0,0,3235.470909,3271.843975,3237.202959,-25.980762,25.980762,3.464102,3237.202959,0,0
0,0,6401.659785,6302.932889,6403.391836,135.099963,-135.099963,1.732051,6403.391836,0,0
0,5199.616524,1115.44072,1089.459958,-4078.979652,-5215.204982,-5175.367813,5197.884474,-4077.247601,-5196.152423,0
0,0,3917.898927,3938.683536,3919.630978,-32.908965,32.908965,1.732051,3919.630978,0,0
3.464102,9017.056504,3737.765643,3758.550252,-3188.705537,-9006.664199,-6923.007078,6926.471179,-5263.702404,-6928.20323,0
0,0,4406.337254,4404.605204,4408.069305,39.837169,-39.837169,1.732051,4408.069305,0,0
0,5199.616524,3076.122234,3131.54786,-2118.298138,-5249.845998,-5140.726797,5197.884474,-2118.298138,-5196.152423,0
1.732051,1389.104748,6294.272635,6214.598298,4910.364039,-1288.645801,-1480.90344,1385.640646,4912.09609,-1385.640646,0
1.732051,1042.694586,4361.303933,4369.964187,3323.8055,-1058.283043,-1018.445875,1039.230485,3325.537551,-1039.230485,0
1.732051,9013.592403,3431.19265,3477.958022,-5227.329337,-9049.96547,-8613.488666,8660.254038,-5572.007448,-8660.254038,0
1.732051,14732.824169,6663.199457,6574.864866,-263.271723,-14609.848562,-7035.59038,6928.20323,-8055.768306,-6928.20323,0
0,19059.487086,3645.96695,3680.607966,-11940.758267,-19083.735798,-15553.816252,15590.189319,-15404.859883,-15588.457268,0
0,8667.182241,3044.94532,3103.835047,-2149.475052,-8719.143765,-5133.798594,5197.884474,-5613.576667,-5196.152423,0
0,0,5019.48324,4988.306326,5021.215291,55.425626,-55.425626,1.732051,5021.215291,0,1
0,86604.272429,5930.541965,5868.188136,-80670.266363,-86564.435261,-86638.913445,86604.272429,-80670.266363,-86602.540378,0
0,5199.616524,1595.218794,1482.635491,-3599.201578,-5142.458848,-5248.113947,5199.616524,-3597.469527,-5196.152423,0
0,0,4027.018128,4051.266839,4028.750178,-13.856406,13.856406,3.464102,4028.750178,0,0
0,0,7558.669724,7446.086422,7560.401775,138.564065,-138.564065,3.464102,7560.401775,0,0
3.464102,8847.315525,7823.673498,7726.678653,4361.303933,-8767.641188,-3522.991343,3464.101615,-1004.589468,-3464.101615,0
0,1735.514909,5431.711333,5423.051078,3701.392576,-1756.299519,-1706.070045,1733.782858,3701.392576,-1732.050808,0
0,0,1079.067653,1075.603552,1080.799704,0,0,1.732051,1082.531755,0,0
0,0,722.265187,774.226711,723.997238,-58.889727,58.889727,1.732051,725.729288,0,0
0,0,528.275496,602.753681,530.007547,-69.282032,69.282032,1.732051,531.739598,0,0
0,5199.616524,703.212628,748.245949,-4491.207744,-5255.04215,-5135.530644,5197.884474,-4489.475693,-5196.152423,0
0,0,6077.766284,6050.053471,6079.498335,-29.444864,29.444864,1.732051,6079.498335,0,0
0,6935.131434,6950.719891,6905.68657,1756.299519,-6877.973757,-5242.917795,5197.884474,24.248711,-5196.152423,0
0,0,820.992083,826.188235,822.724134,24.248711,-24.248711,1.732051,824.456184,0,0
1.732051,3990.645061,1099.852263,1200.31121,-2362.517302,-4044.338636,-3400.015735,3464.101615,-2880.400493,-3464.101615,0
0,0,2736.640276,2715.855666,2738.372327,88.334591,-88.334591,1.732051,2738.372327,0,0
0,8667.182241,2908.113306,2876.936391,-2286.307066,-8566.723294,-5286.219065,5197.884474,-5750.408681,-5196.152423,0
0,10395.768947,554.256258,652.983154,-9836.316536,-10499.691995,-10283.185645,10395.768947,-9834.584485,-10392.304845,0
0,5199.616524,2546.114687,2544.382636,-2648.305685,-5154.583203,-5235.989591,5199.616524,-2648.305685,-5196.152423,0
0,8663.718139,1115.44072,1131.029177,-7543.081267,-8719.143765,-8599.63226,8663.718139,-7541.349216,-8660.254038,0
0,5199.616524,2497.617265,2499.349315,-2696.803107,-5201.348575,-5189.224219,5199.616524,-2696.803107,-5196.152423,1
1.732051,70326.45894,2693.339006,2679.482599,-66586.961246,-70290.085873,-69309.745116,69283.764354,-67624.45968,-69282.032303,0
0,12131.283856,2359.0532,2371.177556,-6299.468787,-12120.891551,-8660.254038,8663.718139,-9763.570402,-8660.254038,0
1.732051,349.874263,1269.593242,1354.463732,924.915131,-438.208854,-252.879418,346.410162,926.647182,-346.410162,0
0,15591.92137,3067.46198,3012.036354,-12519.263237,-15496.658575,-15678.52391,15590.189319,-12519.263237,-15588.457268,0
1.732051,7281.541595,2603.272364,2587.683907,-4323.198816,-7248.63263,-6950.719891,6928.20323,-4667.876926,-6928.20323,0
0,0,2050.748156,2074.996867,2052.480207,-12.124356,12.124356,1.732051,2052.480207,0,0
3.464102,9883.081908,2847.491528,2823.242816,-5811.030459,-9832.852435,-8694.895054,8660.254038,-7020.001923,-8660.254038,0
