@relation 'solar-flare_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '0.317largest_spot_size=K+0.309spot_distribution=C-0.286M-class_flares_production_by_this_region=0+0.27 Historically-complex+0.259Area...' numeric
@attribute 0.415spot_distribution=X+0.415class=H-0.372largest_spot_size=X-0.372class=B+0.284Area_of_the_largest_spot... numeric
@attribute -0.379spot_distribution=I-0.344largest_spot_size=A+0.253C-class_flares_production_by_this_region=1-0.249class=C+0.242class=B... numeric
@attribute 0.448Evolution=3-0.391class=C-0.356spot_distribution=O-0.334Evolution=2-0.258Evolution=1... numeric
@attribute 0.454C-class_flares_production_by_this_region=0-0.452C-class_flares_production_by_this_region=2-0.417M-class_flares_production_by_this_region=4+0.338Previous_24_hour_flare_activity_code-0.27C-class_flares_production_by_this_region=1... numeric
@attribute -0.54M-class_flares_production_by_this_region=1+0.484M-class_flares_production_by_this_region=0+0.403class=D-0.204class=F+0.199Area... numeric
@attribute 0.475Evolution=2-0.33Evolution=3-0.298Evolution=1+0.274largest_spot_size=A+0.263spot_distribution=I... numeric
@attribute -0.496C-class_flares_production_by_this_region=1+0.434M-class_flares_production_by_this_region=4+0.409C-class_flares_production_by_this_region=2-0.387largest_spot_size=H+0.261C-class_flares_production_by_this_region=0... numeric
@attribute '0.591largest_spot_size=R-0.41largest_spot_size=S+0.34 class=C-0.276class=D+0.237largest_spot_size=H...' numeric
@attribute -0.397largest_spot_size=R+0.354largest_spot_size=H-0.349M-class_flares_production_by_this_region=1-0.33largest_spot_size=A-0.288class=D... numeric
@attribute '-0.7class=E+0.474class=F-0.209largest_spot_size=A+0.19 class=D-0.188M-class_flares_production_by_this_region=2...' numeric
@attribute '0.527class=F-0.389class=D-0.37largest_spot_size=H+0.28 largest_spot_size=K+0.219class=E...' numeric
@attribute -0.515Evolution=1-0.399Activity+0.304Evolution=2-0.301Previous_24_hour_flare_activity_code+0.296M-class_flares_production_by_this_region=2... numeric
@attribute -0.469Evolution=1-0.425spot_distribution=I+0.306spot_distribution=O+0.296largest_spot_size=H+0.264largest_spot_size=A... numeric
@attribute '0.496M-class_flares_production_by_this_region=2-0.38largest_spot_size=K+0.336class=F+0.25 Area-0.235M-class_flares_production_by_this_region=1...' numeric
@attribute 0.409M-class_flares_production_by_this_region=2+0.381Evolution=1+0.366largest_spot_size=H-0.326largest_spot_size=S-0.321Activity... numeric
@attribute -0.438class=C+0.367class=F+0.365class=E-0.287largest_spot_size=A+0.274largest_spot_size=H... numeric
@attribute '-0.671Did_region_become_historically_complex+0.33 largest_spot_size=H+0.203class=E+0.202Evolution=1-0.191spot_distribution=X...' numeric
@attribute '0.46 Area+0.448Did_region_become_historically_complex-0.37Previous_24_hour_flare_activity_code-0.239Area_of_the_largest_spot-0.232M-class_flares_production_by_this_region=2...' numeric
@attribute 0.609Area_of_the_largest_spot-0.566Historically-complex+0.209Area-0.191M-class_flares_production_by_this_region=2-0.177Activity... numeric
@attribute X-class_flares_production_by_this_region {0,1}

@data
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
-1.400171,-0.474526,-0.141559,-1.922406,-0.232106,1.464214,-1.867788,0.102918,0.86995,-1.709742,0.75712,-0.509734,-2.148609,-3.263697,-0.417525,1.612966,1.138809,1.111771,0.287919,-0.337996,0
-0.066981,-0.213739,-1.515613,0.194716,0.509895,1.581256,2.375251,0.265851,-0.6788,-1.224383,0.225924,-1.13312,0.472782,-1.28865,0.697003,0.563194,-0.795837,0.508294,0.666231,0.000875,0
-1.265342,-0.251535,-0.140184,-2.128229,-0.566117,0.679935,-1.96885,0.273597,-1.845286,-0.015532,0.127175,-1.24392,-1.779981,-2.616395,0.107064,1.007184,0.730399,1.524337,0.418226,-0.057732,0
-0.331706,-0.438121,-1.360465,1.012983,-0.336682,0.758243,-0.424728,-0.290563,-1.109101,0.375068,0.711189,-1.524347,0.754376,-1.716851,0.799236,-1.282648,0.296073,0.32689,0.977779,-0.554671,0
4.224034,-0.800604,-1.93744,1.463748,-4.720181,-2.634482,1.750341,1.353276,0.151968,-2.231559,0.374131,-1.438842,-1.352086,-0.139357,-0.145782,0.617862,-1.322775,0.773436,1.258346,-0.671689,0
1.224427,-0.848154,-2.243868,1.274898,0.695422,1.112212,1.249175,0.046073,-0.476048,-0.239282,0.371933,-1.379031,-1.63787,-0.620441,0.657318,-0.574926,-0.706212,-0.151344,0.611075,-2.038004,0
0.492097,-0.063703,-1.822114,-0.069895,0.598826,1.544735,2.491837,0.586004,-1.070677,-0.852365,0.496737,-0.796518,0.257809,-1.153204,0.243524,0.800266,-1.096531,0.358667,0.197053,-1.170987,0
-2.402942,-2.417557,1.716488,-0.611582,0.734536,-0.088506,1.336195,0.892486,-0.27685,-0.084638,0.036884,0.065447,0.578735,-0.148002,-0.15661,0.509433,-0.164517,0.369255,0.098586,-0.017621,0
-0.019341,-0.024885,-1.014504,-0.383384,-0.748922,0.774223,-1.431415,0.234868,-1.892944,-0.084597,0.300044,-0.669517,0.059527,0.573155,-0.249575,-0.809766,1.110123,-0.130746,-0.341097,-0.785232,0
-1.022982,-0.834491,-0.425883,-0.106507,-0.689912,0.853068,-1.33252,0.072399,-1.440767,-0.498308,0.287393,-1.281511,0.334553,-0.155061,0.390523,-1.050283,1.104941,0.393669,0.683186,-1.027934,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
0.283132,-0.488048,-1.928747,0.375963,-0.465111,1.394351,-0.26044,0.322276,-1.296126,-1.387801,-0.079631,-0.363209,-0.967461,1.403593,-0.296124,0.586359,0.178645,-0.263797,-0.729649,-0.58742,0
6.493863,-1.423725,2.289284,0.371769,-1.473218,-1.200506,-0.886152,-2.336981,-0.675682,-1.792751,0.407041,-0.162338,-0.40814,-0.258543,-2.402624,-1.072741,-1.076472,-0.196581,0.055115,-0.69322,0
0.974408,-0.091678,-2.86333,1.495452,-0.11188,1.299526,0.647352,-0.040686,-0.964461,-0.514424,0.344165,-0.606045,-0.547638,-0.158196,0.112588,0.353994,-0.630223,-0.330576,-0.435056,-0.114157,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
0.283132,-0.488048,-1.928747,0.375963,-0.465111,1.394351,-0.26044,0.322276,-1.296126,-1.387801,-0.079631,-0.363209,-0.967461,1.403593,-0.296124,0.586359,0.178645,-0.263797,-0.729649,-0.58742,0
-0.331706,-0.438121,-1.360465,1.012983,-0.336682,0.758243,-0.424728,-0.290563,-1.109101,0.375068,0.711189,-1.524347,0.754376,-1.716851,0.799236,-1.282648,0.296073,0.32689,0.977779,-0.554671,0
2.099688,0.260322,1.156835,-0.089103,0.795758,2.440544,-0.271649,1.023617,-0.598708,-0.660699,0.644818,0.027731,1.413777,-0.199653,-2.204708,-0.146473,-0.247743,0.931358,0.113098,1.447933,0
0.377582,0.44583,-1.797733,0.182449,0.361953,1.538931,2.15977,0.108166,-0.7391,-1.18269,-0.032239,-0.857729,0.412731,-0.695881,0.510384,0.566639,-0.489961,0.133506,0.111125,1.415439,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
-0.057089,0.662659,-0.255409,-1.960998,-0.186157,0.977107,0.197589,0.703873,-2.05946,-0.380845,0.194453,-0.584599,0.804922,0.170917,-0.305259,-0.360049,0.94969,0.183709,-0.264093,-0.427498,0
7.877351,-1.472787,3.645998,0.624713,0.540224,0.977629,-2.439586,-0.817708,0.443163,-0.027441,-1.085308,-1.449115,0.652591,-0.377133,2.589124,1.33887,0.137873,-2.218353,-3.417791,-1.866825,1
2.490714,-0.282183,-1.639782,1.631587,1.479158,-0.246649,0.26863,0.429409,0.764034,1.866767,-2.372811,1.475229,-0.297066,-1.083691,-1.402941,-1.336797,1.313547,0.43316,0.113393,-0.874162,0
2.045765,-0.254455,-0.345037,0.240001,-2.781228,1.178961,0.358222,-2.687367,-1.668736,0.874627,-0.039458,0.170609,0.072281,-1.469515,0.800741,-1.27225,-0.062145,-0.927852,-0.487114,-0.553215,0
-0.577854,0.811197,-0.627666,-2.888611,0.01721,-0.123843,-0.272821,0.489544,-0.641408,0.641832,-0.25566,0.488851,1.144947,0.979309,0.025453,-0.387157,-0.527717,-0.014863,-0.096785,-0.452993,0
0.671936,0.371485,-1.949087,0.736105,-0.395692,0.679397,-0.523623,-0.128094,-1.561279,0.788779,0.72384,-0.912353,0.47935,-0.988634,0.159137,-1.042131,0.301254,-0.197525,-0.046504,-0.311969,0
0.529764,1.697647,2.728813,-0.290916,-1.951099,0.549957,2.945518,-4.057721,0.837794,2.307081,0.442532,-0.760057,0.242232,0.75643,-1.08903,2.838525,0.49768,0.411207,0.3636,-2.544541,0
0.671936,0.371485,-1.949087,0.736105,-0.395692,0.679397,-0.523623,-0.128094,-1.561279,0.788779,0.72384,-0.912353,0.47935,-0.988634,0.159137,-1.042131,0.301254,-0.197525,-0.046504,-0.311969,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
-1.678575,-0.908943,-0.799515,-0.828297,-0.152535,0.536397,-1.701868,-0.312609,2.692522,-1.169841,0.467226,0.526126,0.305949,0.006029,0.196646,-0.47161,0.035944,-0.217469,0.720187,-1.333693,0
-1.627828,4.285384,2.075686,0.926284,-0.191117,-0.573213,0.504849,0.214712,-0.462531,-0.257324,-0.239564,-0.086721,0.566239,0.033373,0.972088,-0.969952,-0.5996,2.100631,-1.104763,0.227138,0
0.245384,0.199496,-1.169652,-1.201651,0.097655,1.597236,1.368564,0.791282,-1.462643,-1.684049,-0.185221,-0.278291,-0.222066,1.001355,-0.351808,1.036076,0.018213,0.050658,-0.652645,-0.229685,0
4.049994,0.309908,1.527689,-1.031757,2.689177,1.89193,0.474507,1.480531,-0.045048,0.291714,0.909941,-0.839651,-0.972374,0.363424,-1.867151,-1.564491,0.152942,0.018939,-1.120429,0.169543,0
4.120271,-0.693417,-0.466597,2.023327,0.813599,0.151927,-2.530148,0.955414,-0.134712,0.029965,-0.218367,-1.393538,3.479197,-1.748092,2.353869,3.01947,0.240464,-1.231714,-2.820866,-1.527795,1
1.918562,-0.024232,-0.651217,-0.952448,0.246048,-2.746964,0.95059,-0.082952,-1.839762,-1.752162,1.255923,-2.129946,1.980601,-2.229861,-0.509762,-0.153888,-0.720008,0.753743,1.023386,-1.229827,0
-0.275381,0.348034,-1.541909,-2.129264,0.301021,0.496286,0.898154,0.576953,-0.04459,-0.661372,-0.635334,0.79516,0.117958,1.809748,-0.021096,1.008967,-1.459194,-0.147914,-0.485337,-0.255181,0
-0.261701,0.558071,-0.728805,-2.405106,-0.625127,0.601089,-2.067745,0.436066,-2.297464,0.398179,0.139825,-0.631927,-2.055007,-1.888178,-0.533035,1.247701,0.73558,0.999922,-0.606057,0.184971,0
-0.663635,2.668812,0.272393,1.386039,-0.339229,-0.584641,-1.01075,0.007495,-1.136054,1.070441,0.188477,0.044602,-0.29224,0.44447,-0.469043,-0.098714,0.016042,-1.364454,0.350311,-1.042038,0
1.704491,-0.224205,-1.739951,1.448367,0.014251,1.362907,-0.363214,0.225375,-0.563864,0.731215,1.119175,0.21397,0.701768,-1.086178,-1.405119,-0.563726,0.052565,-0.039204,-1.041118,-0.090408,0
-1.39529,2.983329,1.336615,0.278858,0.468616,0.439044,0.60273,-0.014332,1.804544,-1.292035,0.442018,0.527105,0.299501,-0.740516,-0.595837,0.719713,0.564714,-1.312938,0.766185,0.207294,0
-2.402942,-2.417557,1.716488,-0.611582,0.734536,-0.088506,1.336195,0.892486,-0.27685,-0.084638,0.036884,0.065447,0.578735,-0.148002,-0.15661,0.509433,-0.164517,0.369255,0.098586,-0.017621,0
-1.59008,3.597839,1.31659,2.503898,-0.753883,-0.776098,-1.124155,-0.254294,-0.296015,0.038924,-0.133973,-0.171639,-0.179156,0.435611,1.027771,-1.41967,-0.439168,1.786176,-1.181767,-0.130596,0
-0.782466,0.706609,-1.101062,-3.332719,-0.42176,-0.499861,-2.538155,0.221737,-0.879411,1.420856,-0.310288,0.441523,-1.714982,-1.079786,-0.202323,1.220593,-0.741827,0.80135,-0.438748,0.159475,0
4.049994,0.309908,1.527689,-1.031757,2.689177,1.89193,0.474507,1.480531,-0.045048,0.291714,0.909941,-0.839651,-0.972374,0.363424,-1.867151,-1.564491,0.152942,0.018939,-1.120429,0.169543,0
0.93666,0.595866,-2.104234,-0.082162,0.450885,1.50241,2.276356,0.428319,-1.130977,-0.810672,0.238574,-0.521127,0.197757,-0.560434,0.056905,0.803711,-0.790656,-0.016121,-0.358052,0.243577,0
-0.327835,0.054722,-0.008204,-3.109165,0.824513,-0.311157,0.329002,0.576303,-0.152995,0.916973,-0.227893,-0.284135,0.054715,0.517064,0.570183,-1.316077,-0.603707,0.16437,0.949347,-2.37684,0
-0.577854,0.811197,-0.627666,-2.888611,0.01721,-0.123843,-0.272821,0.489544,-0.641408,0.641832,-0.25566,0.488851,1.144947,0.979309,0.025453,-0.387157,-0.527717,-0.014863,-0.096785,-0.452993,0
-0.577854,0.811197,-0.627666,-2.888611,0.01721,-0.123843,-0.272821,0.489544,-0.641408,0.641832,-0.25566,0.488851,1.144947,0.979309,0.025453,-0.387157,-0.527717,-0.014863,-0.096785,-0.452993,0
0.154476,0.026746,-1.04942,-1.543818,0.113806,-0.556366,-1.515484,-0.050387,-0.046779,1.254914,-0.380465,-0.093662,-0.750732,1.512072,0.439247,-1.762349,-0.137398,-0.524873,0.317237,-1.320011,0
3.433429,-0.647898,-1.483297,1.325161,-0.054716,-2.308663,-0.733486,-0.356173,-0.736132,-1.471785,1.498687,-0.81315,1.397573,-1.332397,-2.204954,-0.121755,-0.502388,0.222821,-0.603337,0.048564,0
-1.39529,2.983329,1.336615,0.278858,0.468616,0.439044,0.60273,-0.014332,1.804544,-1.292035,0.442018,0.527105,0.299501,-0.740516,-0.595837,0.719713,0.564714,-1.312938,0.766185,0.207294,0
-1.59008,3.597839,1.31659,2.503898,-0.753883,-0.776098,-1.124155,-0.254294,-0.296015,0.038924,-0.133973,-0.171639,-0.179156,0.435611,1.027771,-1.41967,-0.439168,1.786176,-1.181767,-0.130596,0
0.236897,0.035221,1.282885,-3.120104,-2.457258,0.412243,0.492438,-2.389882,-0.356988,0.355662,-1.289771,1.235211,0.952851,0.362982,1.120536,-0.854348,-0.590422,-0.595563,-0.068217,0.477623,0
1.151347,0.211964,-0.078517,-2.621571,1.572279,0.277213,0.130816,1.050699,0.873431,0.847828,0.364381,0.908785,0.346472,1.178871,-1.105877,-0.638367,-0.304913,-0.423778,-2.346775,0.171324,0
-0.08582,0.703065,-0.761049,-3.777941,0.723366,-0.782315,-2.294928,0.429423,-0.361987,1.684416,-0.085583,-0.264866,-2.735875,-0.782681,0.230603,0.490978,-0.270333,0.234113,-1.694125,0.56223,0
